chimera,mKate_mean,mKate_std,GFP_mean,GFP_std,sum_ratio,sum_ratio_std,intensity_ratio,intensity_ratio_std
CsChrim,1.51177186278,0.397677625619,1.90061102556,0.400263226535,1.1333987112,0.498490952066,1.03578874864,0.413958692771
C1C2,1.21902185522,0.236274175144,0.596030898899,0.140903497432,0.39190464062,0.143243836063,0.370837015753,0.116700942497
CheRiff,0.283631929457,0.0739641106687,0.655161900901,0.245225497105,1.68388780792,1.36430938228,1.68072636475,0.55219434209
c1,0.6125881429,0.0744332096228,1.08963795592,0.127669088726,1.63339701414,0.487512215306,1.51589796711,0.305048407873
c2,1.3315648778,0.0,3.54205333154,0.0,3.27303529844,0.0,2.51795238019,0.0
c3,0.988142644386,0.0284567675592,0.399410935481,0.00119001093946,0.281750940148,0.0362847329301,0.340071115713,0.0518682344784
c4,0.842157755321,0.166506754111,0.151654453328,0.0629496230229,0.026070818209,0.0125476631244,0.135226174629,0.0395455463481
c5,0.846188037173,0.346088434652,0.466236085804,0.057046891278,0.421702736282,0.174593798126,0.56936695022,0.260953499153
c6,0.823229862919,0.235757235637,1.04533851114,0.172110327406,1.39782852722,0.387799592919,1.11895759208,0.254685380364
c7,1.09324891274,0.273663508135,1.31213990866,0.395806500699,1.38696503311,0.618080114092,1.14921439483,0.312635857679
c8,0.750868171945,0.0,0.0579964887823,0.0,0.00427876447059,0.0,0.0621779446137,0.0
c11,1.14375912503,0.505365303943,0.365239657927,0.149298286842,0.252388818989,0.185896436508,0.313092216548,0.13343601622
c13,1.33646285986,0.0514445534386,0.114489493619,0.00811294053406,0.00528774440945,0.00091458986787,0.0505050737294,0.000879608211648
c14,1.26000357828,0.00659544162518,0.101267119696,0.032305600232,0.00503760802875,0.00287590483941,0.0644248784183,0.0189702354457
c15,1.94546417695,0.0445643754058,0.0646549817402,0.00300741137811,0.00157898274944,0.000193364457633,0.0268281842795,0.00172342699227
c16,1.78454153091,0.389900462382,0.572664912803,0.0290862501674,0.271855619621,0.100435550319,0.295277516887,0.071990673831
c19,1.18935565155,0.0226951849518,0.087156234306,0.0203395238951,0.00494676962651,0.00214841554509,0.0588306333968,0.0127217720633
c20,1.38898513073,0.121620341848,0.476655003582,0.00455393289679,0.268389938218,0.0397851001377,0.294465144279,0.037396620154
c21,,,,,,,,
c24,,,,,,,,
c25,,,,,,,,
c28,0.51822428161,0.0,0.627609405035,0.0,1.05194992405,0.0,1.12096834846,0.0
c29,0.352477048756,0.0,0.0370783051281,0.0,0.00157775760131,0.0,0.077961599669,0.0
c30,0.717374058149,0.0,0.0524578413945,0.0,0.00399891313155,0.0,0.0668221166505,0.0
c31,,,,,,,,
c32,1.44142897394,0.0,0.184957905387,0.0,0.0546764268971,0.0,0.105562260064,0.0
c33,,,,,,,,
c34,,,,,,,,
c35,0.656866065217,0.0,0.0516124286179,0.0,0.00209732456492,0.0,0.0816319387702,0.0
c36,0.212576325937,0.0445378481907,0.0923765784946,0.0146249149684,0.0391376589524,0.0268586912125,0.354826547389,0.0976078697445
c37,,,,,,,,
c39,0.224539859612,0.0,0.508562987099,0.0,1.68020621978,0.0,1.84460850411,0.0
c40,0.178167066844,0.0172495246122,0.345824083424,0.0949966909042,0.891030605869,0.247584795686,1.19704072426,0.0926786970219
c41,0.274254904868,0.0469591730226,0.575502082516,0.142791479837,1.25802054582,0.434426761464,1.37210510601,0.343136053612
c42,0.371228657783,0.0895170309941,1.09160891316,0.280149895428,1.99259281154,0.528897015648,2.12846664755,0.663387243226
c43,,,,,,,,
c44,0.127742857286,0.0,0.220039929811,0.0,0.755970482932,0.0,1.44198229729,0.0
c46,0.269896992364,0.0,0.0807228170505,0.0,0.0117178904007,0.0,0.25647559363,0.0
c47,,,,,,,,
c48,0.195006102284,0.00150011645602,0.406688817737,0.0725607274995,1.25792380714,0.201077470939,1.65045262706,0.248522710288
c49,0.249254306028,0.00498035997903,0.48730158618,0.0469306401322,1.28834253364,0.0839562313767,1.54639964042,0.0994600082355
c50,0.568409529839,0.138324827783,0.831491864027,0.122726463433,0.816521609188,0.0498371018469,0.852004035771,0.0817195581626
c51,0.282715930485,0.0303560475903,0.0357771579246,0.00494843627013,0.00216417485772,0.000917021373059,0.0806751999764,0.0208952481577
c52,0.269072232664,0.0459056341489,0.747195574718,0.257365220125,1.66200907759,0.291849628862,1.7814003399,0.131547399883
c53,0.322370681748,0.00540337465017,0.0585426439701,0.0161780802632,0.00217771704346,0.000649026684575,0.0988054493517,0.0272684772751
c54,0.113915485988,0.000872666896564,0.155907878532,0.013613290971,0.211618996028,0.00520801229994,1.07262110474,0.0966630780327
c55,0.590283884219,0.00414895645672,0.0487601289455,0.00261276139472,0.0018764635514,0.000217333682122,0.0754701895601,0.011453777257
c56,0.9012222866,0.134093497344,1.35497274992,0.0659984928234,1.14816187112,0.154218159308,1.26073142136,0.157712510084
c57,1.63179479932,0.587920741367,0.362488162715,0.13068187676,0.123237669897,0.0692866731696,0.188439191477,0.0393977647455
c58,1.0400904926,0.358585301324,1.92172421265,0.599241105562,1.26742614362,0.298157780448,1.40672757813,0.270077200702
c59,1.13914066167,0.0294536338732,0.0554118583091,0.0060823850128,0.00195183481641,0.000278856763402,0.0458396171956,0.00868344086521
c60,,,,,,,,
c62,1.91549763532,0.239824459862,0.458191402774,0.0815472502026,0.109570635275,0.0571111747601,0.170586237758,0.0529867101305
c63,1.13293270547,0.0721047967175,0.0853189898297,0.0135212354692,0.00299830010361,0.000674517795133,0.0538166960687,0.0100849876908
c64,1.22271965713,0.268496541191,1.50075025539,0.594224836604,1.05224617775,0.435869641744,1.07011211351,0.258162620838
c66,2.36291316294,0.657513857926,0.568642184763,0.258209485338,0.264091762517,0.192753919586,0.247301834996,0.152629395397
c69,0.552422557325,0.0,0.0219666838182,0.0,0.000170242457534,0.0,0.0329409937622,0.0
c70,0.983085228133,0.0522696170218,1.92284112203,0.127340476007,1.69958210539,0.0505983649146,1.75514958526,0.0719017495782
c71,1.1549027455,0.153842877028,0.639787619271,0.207090582052,0.36685053538,0.248983964929,0.435344266408,0.219921984993
c72,0.691740620203,0.276540380361,0.0838327922242,0.0447460667198,0.00636014540302,0.00551294488033,0.0943189646267,0.0620037514249
c73,0.310911080728,0.037898661379,0.80420449881,0.071817840986,2.06215937056,0.0825463244113,2.21990061317,0.0536799149894
c74,0.309784377492,0.0198400600746,0.180804893515,0.0118611799125,0.139227663373,0.00522817689592,0.430064738142,0.0080074394546
c75,0.424534702238,0.0489657564329,0.0317434401089,0.0115795310489,0.0022039388431,0.00189014435752,0.0619770725232,0.0238602393284
c76,0.615093637951,0.260092967462,0.0312359087045,0.0138623971197,0.00193489528455,0.00155087680313,0.0562673768632,0.0171880388735
c77,0.710986843827,0.0325521938358,0.120923002975,0.0189635126609,0.00818978204535,0.00028473521742,0.133955202199,0.00711917619634
c78,1.59997260689,0.695910066219,0.243467008694,0.067984030906,0.0717886217281,0.0124649584322,0.135272180305,0.0487327801175
c79,0.605136139163,0.0599939371536,0.0909141092761,0.0254118396059,0.0073324783687,0.00497144778551,0.0975324676518,0.0301593905204
c80,0.450400847067,0.141435177424,0.0531708999364,0.0446857049508,0.00245976948951,0.00172491650456,0.0736696661171,0.0412435052723
c81,1.22216162367,0.0558921565332,0.0777489317034,0.020871507606,0.00174200932538,0.000767895983911,0.0405703048337,0.0135307409613
c83,0.372384380092,0.0,0.0143950897181,0.0,7.43922849386e-05,0.0,0.0322408877231,0.0
c84,0.485162277569,0.0524037141499,0.0430370731574,0.018725292721,0.00382059711894,0.00123820062444,0.058128382885,0.00910468701288
c85,0.963473525876,0.0648922130404,0.0553469404106,0.0145013675069,0.00182940032144,0.000988198839465,0.0423371400852,0.0157038362948
c86,1.68855024863,0.552748931767,0.0668471593025,0.0293730891604,0.00183782554164,0.00106353687414,0.0263062050316,0.00372100372308
c87,1.02975324198,0.1238924626,0.0960984397441,0.0371762173424,0.00556452923354,0.00340687600341,0.067957206188,0.0353494618963
c88,,,,,,,,
c89,,,,,,,,
c90,1.19991906362,0.247496864679,0.0886283089303,0.0103779620086,0.00772808058908,0.00188104224956,0.0527549715333,0.00844861741554
c92,0.246163702918,0.0135987965208,0.217590784223,0.106956538896,0.249933668403,0.183641762474,0.823708533144,0.48119406782
c93,1.29146354249,0.0701581222442,1.12842949725,0.0734617362535,0.927911045102,0.320219524629,0.722847943271,0.187361481428
c95,0.555728558306,0.170723903895,0.05351451433,0.0253888185306,0.00856255607203,0.0110198475077,0.0881868256059,0.0647226559385
c96,1.57582472614,0.747660765584,0.891531684683,0.451132462374,0.44427533625,0.208279775145,0.413944615677,0.10043450039
c97,,,,,,,,
c103,0.628162440397,0.237694030526,0.112666379432,0.0564427864335,0.0091354094449,0.00608421492047,0.150164521822,0.0947770876027
n1,0.778433688331,0.10364731871,0.662307289736,0.135535271185,0.559647882262,0.223305725807,0.639591791934,0.224710804776
n2,1.16821803193,0.202453943827,2.42069601315,0.856564472904,1.58538160513,0.590841297187,1.57983007282,0.350198046821
n3,0.416016324842,0.010856404751,0.323955496385,0.0460352939273,0.0791962673415,0.00412975448062,0.393176299051,0.000921500648717
n4,0.700288905967,0.313425224401,0.542829618309,0.13430750783,0.527639818066,0.310442796558,0.752446698967,0.400087645922
n5,1.4959766096,0.152218078055,0.614255888714,0.125596602533,0.35759100308,0.100700066091,0.395358637743,0.110308928315
n6,1.24183524857,0.261722842333,1.09680475107,0.184953703452,1.00614891759,0.302115215322,0.93722300972,0.260414718832
n7,0.730433708086,0.202847463157,0.419995351361,0.0474209568573,0.517088120879,0.192467841296,0.621566198945,0.225834612834
