kernel,y,log_ML,LOO_log_P,R,tau,AUC,hypers,Predicted?,Saved?
SEStructure,kinetics,-4.653288358,13.47638206,0.762396596,0.4185884,,Hypers(sigma_f=0.32397029804139166  ell=26.056122509398421),no,FALSE
structure,kinetics,-11.88933905,-3.788248421,0.647537844,0.452131377,,Hypers(var_p=0.15228571862363949),no,FALSE
SEStructure,kinetics,-55.446499,-43.171034,0.6577,0.3948,,"Hypers(var_n=1.0000000000000001e-05, sigma_f=1.3222870564409805, ell=14.320093860542951)",,
52Structure,kinetics,-59.724977,-46.635521,0.672,0.3809,,"Hypers(var_n=1.0000000000000001e-05, ell=13.869592125982615)",,
32Structure,kinetics,-61.582749,-49.482489,0.6637,0.3836,,"Hypers(var_n=1.0000000000000001e-05, ell=14.9302984196928)",,
structure,kinetics,-67.633716,-61.267511,0.6138,0.3655,,"Hypers(var_n=0.33421714583587664, var_p=2.9484929242057909)",,
SEStructure,log_kinetics,-65.417522,-51.096753,0.7649,0.4997,,"Hypers(var_n=0.090515411777971622, sigma_f=2.2728282440637098, ell=24.317674658861847)",,
32Structure 52Structure,log_kinetics,-67.508973,-57.274259,0.6497,0.4088,,"Hypers(var_n=0.040830568283859857, ell0=18.250308110059652, ell1=17.35569024215491)",,
structure,log_kinetics,-67.999451,-55.987265,0.7274,0.4521,,"Hypers(var_n=0.25855248362109179, var_p=4.5285705135443139)",,
52Structure,log_kinetics,-70.764232,-64.089878,0.4953,0.3026,,"Hypers(var_n=0.098856036502609004, ell=11.402914524538078)",,
32Structure,log_kinetics,-71.153353,-64.75305,0.4824,0.2872,,"Hypers(var_n=0.076693095763858452, ell=11.661039153383374)",,
structure,log_peak_green,-65.045062,-60.974126,0.6707,0.522,,"Hypers(var_n=0.48766261352288987, var_p=0.63838796083791727)",,
32Structure,log_peak_max,-72.331029,-68.688831,0.4134,0.304,,"Hypers(var_n=0.076694701182353414, ell=7.5347836014633041)",,
structure,peak_green,-76.118011,-76.118028,-0.0219,0.0217,,"Hypers(var_n=0.98147308267412592, var_p=1.0000000000000001e-05)",,
structure,peak_green_ratio,-52.216851,-47.326169,0.8184,0.6108,,"Hypers(var_n=0.28818859003558239, var_p=0.5092397913875174)",,
SEStructure,peak_green_ratio,-53.100591,-47.558755,0.8199,0.6152,,"Hypers(var_n=0.2832017968767227, sigma_f=0.93106420538606827, ell=30.554936687641732)",,
52Structure,peak_green_ratio,-53.476455,-47.712317,0.8192,0.6197,,"Hypers(var_n=0.28306888121301238, ell=40.98076920387328)",,
32Structure,peak_green_ratio,-53.909047,-48.040303,0.8177,0.6256,,"Hypers(var_n=0.2820590699356596, ell=47.401370272211324)",,
structure,peak_max,-70.81915042,-75.27102032,0.161357799,0.136268344,,Hypers(var_p=1.432754856362527),no,FALSE
SEStructure,peak_max,-75.36051,-74.799813,0.2159,0.188,,"Hypers(var_n=0.64371042505332854, sigma_f=0.58924551107422507, ell=6.1004465361245437)",,
32Structure,peak_max,-75.39594,-74.6098,0.2321,0.1922,,"Hypers(var_n=0.0018426367743240584, ell=3.5220373706038317)",,
52Structure,peak_max,-75.437589,-74.62393,0.2322,0.1936,,"Hypers(var_n=0.0043855405424556944, ell=3.397110866977199)",,
structure,peak_max,-75.768923,-75.358571,0.1621,0.0273,,"Hypers(var_n=0.91229158398164489, var_p=0.089607686697350392)",,
SEStructure,ss_blue,-69.248998,-67.018426,0.521,0.3564,,"Hypers(var_n=0.45573304885661042, sigma_f=0.76291431833797352, ell=12.39707193305734)",,
32Structure,ss_blue,-69.746011,-67.249918,0.5141,0.3438,,"Hypers(var_n=0.38433358901934611, ell=18.260962441293746)",,
structure,ss_blue,-70.086591,-67.794746,0.5124,0.299,,"Hypers(var_n=0.62857027885263994, var_p=0.51022465441724618)",,
structure,ss_blue,-90.75273313,-101.359115,0.379182704,0.280812945,,Hypers(var_p=11.581278231831689),no,FALSE
structure,ss_cyan,-71.452267,-69.639659,0.44,0.2637,,"Hypers(var_n=0.65951543520724643, var_p=0.54625824498478415)",,
structure,ss_green,-52.030925,-46.109687,0.8263,0.5926,,"Hypers(var_n=0.26267914889336491, var_p=0.71056386756239298)",,
52Structure,ss_green,-53.44412832,-47.35025632,0.819094148,0.589765196,,Hypers(var_n=0.26487142576993933  ell=36.729093723019368),no,FALSE
52Structure,ss_green,-68.43441147,-68.42541658,0.714121387,0.549091734,,Hypers(ell=7.7565376425872854),no,FALSE
structure,ss_green,-121.8042447,-154.1814318,0.387489592,0.295233231,,Hypers(var_p=44.753769600732632),no,FALSE
structure,ss_green,-121.8042701,-154.2220953,0.388274815,0.298038298,,Hypers(var_p=44.602851566812049),no,FALSE
structure,ss_red,-60.562184,-55.816763,0.7367,0.5304,,"Hypers(var_n=0.38732104388240945, var_p=0.73591258993921171)",,
52Structure,ss_red,-75.31257366,-75.31257366,0.134299068,0.112565147,,Hypers(ell=0.14935423223359773),no,FALSE
52Structure,ss_red,-76.12268592,-76.12268605,-0.112340296,0.186924051,,Hypers(var_n=1.0000000000000001e-05  ell=0.36933710163640321),no,FALSE
structure,ss_red,-120.5817404,-132.0243096,0.069079579,0.063591894,,Hypers(var_p=94.237877373871427),no,FALSE
structure,ss_teal,-76.11715,-76.108443,0.0184,-0.0231,,"Hypers(var_n=0.97511162004180296, var_p=0.0067092063747461808)",,
structure,ss_violet,-73.211847,-70.113451,0.4476,0.2914,,"Hypers(var_n=0.66322939132599756, var_p=0.84077003077915213)",,
SEStructure,std_state_green,-51.56101687,-43.29527164,0.429250663,0.362683438,,Hypers(sigma_f=0.53928010979365937  ell=24.103900981148495),no,FALSE
SEStructure,std_state_green,-75.78733458,-75.50540821,0.166567067,0.190775681,,Hypers(var_n=0.87621398928429828  sigma_f=0.32247505172738389  ell=8.46562577040911),no,FALSE
structure,std_state_green,-76.118054,-76.118115,-0.0861,-0.0217,,"Hypers(var_n=0.98147594886680389, var_p=1.0000000000000001e-05)",,
structure,std_state_green_ratio,-50.650937,-44.553249,0.8401,0.633,,"Hypers(var_n=0.25244825285478179, var_p=0.64830821227735058)",,
SEStructure,std_state_green_ratio,-51.582297,-45.147719,0.8382,0.63,,"Hypers(var_n=0.25162722519078096, sigma_f=1.0464718170930349, ell=32.013785721707677)",,
52Structure,std_state_green_ratio,-52.036951,-45.605429,0.8351,0.8351,,"Hypers(var_n=0.25357403314719718, ell=38.422918352530118)",,
32Structure,std_state_green_ratio,-52.526872,-46.100717,0.8322,0.6241,,"Hypers(var_n=0.25368368672665392, ell=44.547974105440971)",,
SEStructure 52Structure,std_state_max,-75.778063,-75.402022,0.1895,0.1209,,"Hypers(var_n=9.9999999999544897e-06, sigma_f0=1.0000000000000001e-05, ell0=10.193790692204509, ell1=2.212098739870326)",,
structure,std_state_max,-76.116706,-76.104919,0.0211,-0.0832,,"Hypers(var_n=0.97387023175967047, var_p=0.0081005840319980076)",,
