Construct,Color_max,Peak_max,Peak_max_std,Std_state_max,Std_state_max_std,Kinetics,Kinetics_std,Peak_green_ratio,Std_state_green_ratio,n_max,Peak_red,Peak_red_std,Std_state_red,Std_state_red_std,n_red,Peak_green,Peak_green_std,Std_state_green,Std_state_green_std,n_green,Peak_cyan,Peak_cyan_std,Std_state_cyan,Std_state_cyan_std,n_cyan,ss_red,ss_red_std,ss_green,ss_green_std,ss_teal,ss_teal_std,ss_cyan,ss_cyan_std,ss_blue,ss_blue_std,ss_violet,ss_violet_std
CsChrim,VC_green,-856.114938487,429.887555821,-671.739337423,324.00823166,59.2869565217,25.9586846379,1.0,1.0,23,-628.593902588,315.762761914,-377.759768168,213.486120294,12,-856.114938487,429.887555821,-671.739337423,324.00823166,23,-687.580549877,430.860835635,-575.817632039,340.572638659,12,0.471032046924,0.148243809025,0.872966554012,0.141851087871,0.712963054651,0.260650529263,0.690726918483,0.265664663741,0.593406375242,0.248945475401,0.566275554963,0.232183683595
CheRiff,VC_cyan,-382.886174011,311.741246522,-232.751954651,158.969797167,11.03,4.47527652777,0.120955156167,0.079702577135,10,-14.1791433334,6.28470759104,0.449051666255,5.01764878215,10,-33.6544463418,15.3807026969,-18.7602650036,12.6388346532,11,-382.886174011,311.741246522,-232.751954651,158.969797167,10,-0.00341689536908,0.035500526527,0.072436779793,0.032988184404,0.510720733322,0.213228147949,0.871977485146,0.156779294149,0.90883861472,0.0823873648389,0.796149710205,0.213540871867
C1C2,VC_cyan,-452.521384103,106.258982629,-290.3230787,104.066148176,24.7714285714,12.7208169421,0.196287022466,0.280750009376,7,-9.11053752899,1.32120868258,-0.378916876657,0.988998036478,7,-88.8689237321,27.3916076402,-79.968635559,26.9707295817,7,-452.521384103,106.258982629,-290.3230787,104.066148176,7,0.0010800743755,0.00247916003777,0.280750009376,0.053450674184,0.644378085369,0.0534736092859,1.0,0.0,0.794609301216,0.0713675348088,0.603500020286,0.0480047669162
c66,VC_green,-60.7075684865,50.3712993694,-48.7555974325,49.5472815492,961.125,640.945429457,1.0,1.0,12,-42.9637425741,22.6766534501,-33.1732355753,22.2371475707,6,-60.7075684865,50.3712993694,-48.7555974325,49.5472815492,12,-71.2917442321,39.9676616257,-61.7391916911,39.8906812571,6,0.478848794815,0.0705737118303,0.93983342722,0.0909365690281,0.876256086549,0.130810106868,0.886593594819,0.0990955819155,0.762828043068,0.094736650897,0.72400244398,0.0858086451853
c61,VC_green,-653.742626953,246.949563085,-583.567407227,218.273827163,162.58,54.2096080045,1.0,1.0,5,-426.285858154,119.301398196,-390.04212443,122.355370301,3,-653.742626953,246.949563085,-583.567407227,218.273827163,5,-445.962036133,40.1562842017,-412.184132894,49.8106816705,3,0.610630456975,0.0296240991779,0.995192527373,0.00679879299018,0.551354171176,0.0608515262745,0.705949201149,0.210404436534,0.516986804301,0.063819513889,0.474478217992,0.0477447916796
n39,VC_cyan,-1034.60406494,524.514778304,-925.892822265,501.894297821,68.9833333333,31.1177021788,0.285038598661,0.32507385312,6,-9.62653350831,0.207038879395,-1.60596466065,0.222114562985,2,-371.870183309,85.6821401182,-353.229070028,83.118405491,3,-1034.60406494,524.514778304,-925.892822265,501.894297821,6,0.00140147433925,7.36581807268e-05,0.275984746786,0.0494525489564,0.574877708305,0.0110420056992,0.828011257622,0.171988742378,0.848990911256,0.151009088744,0.700666451206,0.0506239280584
n25,VC_cyan,-179.180046081,51.3808344044,-168.963790894,51.1877747951,1452.225,207.836514778,0.580317581674,0.536340238208,4,-8.59693400065,1.92082839641,0.0709940592433,2.1414775958,3,-88.5288696289,11.0607046995,-76.6733601888,12.4529415258,3,-179.180046081,51.3808344044,-168.963790894,51.1877747951,4,-0.000384506781637,0.0159437402126,0.520455578881,0.0266014533391,0.69776304891,0.282418459939,0.970383241466,0.041884421592,0.761704524583,0.0513211195303,0.24028911585,0.042155926046
c73,VC_green,-751.340049743,251.599127001,-634.843967437,240.691056023,72.35,30.8756376452,1.0,1.0,8,-364.35791626,125.521143192,-308.254534912,113.623706847,5,-751.340049743,251.599127001,-634.843967437,240.691056023,8,-459.761769613,163.282508503,-419.033943176,167.673519296,6,0.486034577229,0.0397961530121,0.995449143376,0.00910171324826,0.587730714116,0.0647333495589,0.759216368296,0.123694611227,0.580301037287,0.0534871005402,0.503820454548,0.0546104844121
n83,VC_cyan,-133.840927124,34.3713404981,-124.921224975,34.2694614427,5655.88,990.10318129,0.304856269717,0.244918310776,5,-9.14464187622,1.14904868739,0.345431009927,2.13881495748,6,-41.7676132202,11.8668070566,-32.6929489136,11.5197073603,5,-133.840927124,34.3713404981,-124.921224975,34.2694614427,5,-0.00525709744117,0.0152229565337,0.244918310776,0.0477827973154,0.491879271188,0.112993314776,1.0,0.0,0.570397447309,0.126175821419,0.320598197367,0.0963032911205
n58,VC_green,-141.064875285,62.2649280754,-130.174962362,62.0740243524,54.4666666667,14.6615900305,1.0,1.0,3,-108.605293274,6.220466614,-72.0383987427,3.6827316284,2,-141.064875285,62.2649280754,-130.174962362,62.0740243524,3,-119.388753255,20.9357188736,-108.767344157,20.513559247,3,0.413740373292,0.0183523830767,1.0,0.0,0.573411129736,0.0203340323091,0.704678416609,0.0353793645649,0.43879098745,0.00500759344574,0.343646014674,0.00571631141038
