chimera,mKate_mean,mKate_std,GFP_mean,GFP_std,sum_ratio,sum_ratio_std,intensity_ratio,intensity_ratio_std
CsChrim,1.06392883962,0.0730339335276,1.76874320274,0.232495020834,1.00846090274,0.0823096896666,0.917389492413,0.0398597273002
C1C2,1.36819817188,0.022292649843,0.893447991237,0.0651222507451,0.426073207307,0.0662564281933,0.371342112756,0.0441857032294
CheRiff,0.190143300776,0.0152311964885,0.727448812756,0.0117932284253,1.89826943524,0.260139750516,2.11771213768,0.176255167458
c1,,,,,,,,
c2,,,,,,,,
c3,,,,,,,,
c4,,,,,,,,
c5,,,,,,,,
c6,,,,,,,,
c7,,,,,,,,
c8,,,,,,,,
c11,,,,,,,,
c13,,,,,,,,
c14,,,,,,,,
c15,,,,,,,,
c16,,,,,,,,
c19,,,,,,,,
c20,,,,,,,,
c21,,,,,,,,
c24,0.267253589378,0.0013472155606,0.904064671286,0.11677495242,1.60717986272,0.231674167488,1.83996835936,0.204009489316
c25,,,,,,,,
c28,,,,,,,,
c29,,,,,,,,
c30,,,,,,,,
c31,0.215138658951,0.0252549396781,0.0749960112287,0.0096765401063,0.0111684410855,0.000726995867424,0.199890016661,0.0121091466822
c32,,,,,,,,
c33,0.454724360168,0.0253719531674,0.0669427454753,6.68596807896e-05,0.00458041646624,0.000260260033449,0.0827101317755,0.00477762893994
c34,,,,,,,,
c35,,,,,,,,
c36,,,,,,,,
c37,0.216956438937,0.00428853447292,0.102281496324,0.0085939813738,0.048415472464,0.000204335627073,0.336588942865,0.0144090275336
c39,,,,,,,,
c40,,,,,,,,
c41,,,,,,,,
c42,,,,,,,,
c43,0.105111319332,0.00271670779051,0.477164567193,0.0195326732173,2.70180199176,0.266897143846,2.50191350771,0.11758227192
c44,,,,,,,,
c46,,,,,,,,
c47,0.157202985588,0.0177758779563,0.0538071274505,0.000166612332304,0.00984628946017,0.000574059764897,0.18345999573,0.0120061649271
c48,,,,,,,,
c49,,,,,,,,
c50,,,,,,,,
c51,,,,,,,,
c52,,,,,,,,
c53,,,,,,,,
c54,,,,,,,,
c55,,,,,,,,
c56,,,,,,,,
c57,,,,,,,,
c58,,,,,,,,
c59,,,,,,,,
c60,0.168464890227,0.00351479369218,0.264924284792,0.149518410413,0.0703171831815,0.0434299521394,0.850147223842,0.473411584438
c62,,,,,,,,
c63,,,,,,,,
c64,,,,,,,,
c66,,,,,,,,
c69,,,,,,,,
c70,,,,,,,,
c71,,,,,,,,
c72,,,,,,,,
c73,,,,,,,,
c74,,,,,,,,
c75,,,,,,,,
c76,,,,,,,,
c77,,,,,,,,
c78,,,,,,,,
c79,,,,,,,,
c80,,,,,,,,
c81,,,,,,,,
c83,,,,,,,,
c84,,,,,,,,
c85,,,,,,,,
c86,,,,,,,,
c87,,,,,,,,
c88,0.411654347082,0.0245578485516,0.0239467697578,0.000366755361825,0.000555997147306,0.000123958929718,0.0312110941761,0.00180342653192
c89,0.315812801718,0.0962473704675,0.119388532515,0.0607030579867,0.0413606767266,0.0332793481909,0.285680292317,0.188262139231
c90,,,,,,,,
c92,,,,,,,,
c93,,,,,,,,
c95,,,,,,,,
c96,,,,,,,,
c97,,,,,,,,
c103,,,,,,,,
n1,,,,,,,,
n2,,,,,,,,
n3,,,,,,,,
n4,,,,,,,,
n5,,,,,,,,
n6,,,,,,,,
n7,,,,,,,,
n8,,,,,,,,
n9,,,,,,,,
n10,,,,,,,,
n11,,,,,,,,
n12,,,,,,,,
n13,,,,,,,,
n14,,,,,,,,
n15,,,,,,,,
n16,,,,,,,,
n17,,,,,,,,
n18,,,,,,,,
n19,,,,,,,,
n20,,,,,,,,
n21,,,,,,,,
n22,,,,,,,,
n23,,,,,,,,
n24,,,,,,,,
n28,,,,,,,,
n29,,,,,,,,
n32,,,,,,,,
n34,,,,,,,,
n35,,,,,,,,
n36,,,,,,,,
n37,,,,,,,,
n38,,,,,,,,
n40,,,,,,,,
n41,,,,,,,,
n42,,,,,,,,
n43,,,,,,,,
n44,0.38599979674,0.0,0.208722242597,0.0,0.0826527734273,0.0,0.283899844647,0.0
n45,,,,,,,,
n46,,,,,,,,
n47,,,,,,,,
n48,,,,,,,,
n49,,,,,,,,
n50,,,,,,,,
n51,,,,,,,,
n52,,,,,,,,
n53,,,,,,,,
n56,,,,,,,,
n57,,,,,,,,
n59,,,,,,,,
n60,,,,,,,,
n61,,,,,,,,
n62,0.138416782064,0.00434983625728,0.517187423891,0.0117491179185,2.08491993148,0.0537201777544,2.12400986082,0.0400267714649
n63,,,,,,,,
n64,,,,,,,,
n65,,,,,,,,
n66,,,,,,,,
n67,0.352580897385,0.0380060893606,0.0486311919953,0.0167424986032,0.0022504748592,0.00146058640667,0.0881354353431,0.0411017198168
n68,,,,,,,,
n69,,,,,,,,
n70,,,,,,,,
n71,,,,,,,,
n72,,,,,,,,
n73,,,,,,,,
n75,0.271670499865,0.0255176178452,0.828251079599,0.0479727519449,1.45335002318,0.252995099035,1.71706966113,0.23060325877
n76,,,,,,,,
n77,,,,,,,,
n78,0.150706691463,0.0125359524074,0.0566844593698,0.00380224139298,0.0127602800496,0.00347403632401,0.210820851971,0.0363674363791
n79,,,,,,,,
n80,,,,,,,,
n82,,,,,,,,
n84,,,,,,,,
n86,,,,,,,,
n87,,,,,,,,
n88,,,,,,,,
n89,,,,,,,,
n93,,,,,,,,
n94,,,,,,,,
n95,,,,,,,,
n96,,,,,,,,
n97,,,,,,,,
n98,,,,,,,,
n99,,,,,,,,
n100,,,,,,,,
n101,,,,,,,,
