name,GFP_above_parent,pi
cschrimson,1,0.322441650832
c1c2,1,0.808179008211
cheriff,1,0.291093435856
c1,1,0.702977929895
c2,1,0.702799540705
c3,-1,0.278063002504
c4,-1,0.113649379333
c5,-1,0.225405940104
c6,1,0.538435431795
c7,1,0.634846825416
c8,-1,0.148367129476
c11,-1,0.222593427886
c13,-1,0.169311472778
c14,-1,0.200772405572
c15,-1,0.229377458814
c16,-1,0.349817107576
c19,-1,0.211006777889
c20,-1,0.186625804661
c21,-1,0.246105502298
c24,1,0.601087561849
c25,-1,0.196497455091
c28,1,0.668895464105
c29,-1,0.169652842149
c30,-1,0.146560274501
c31,-1,0.221564567808
c32,-1,0.203250173592
c33,-1,0.140673205058
c34,-1,0.166452543227
c35,-1,0.189318725719
c36,-1,0.170615869586
c37,-1,0.191017019298
c39,-1,0.211616398438
c40,-1,0.136357392413
c41,-1,0.207370654075
c42,1,0.470847957853
c43,-1,0.162765698085
c44,-1,0.258567963746
c46,-1,0.171046938566
c47,-1,0.160132788297
c48,-1,0.256131679406
c49,-1,0.157924175868
c50,1,0.556898073534
c51,-1,0.141399224836
c52,1,0.603343577195
c53,-1,0.139539896032
c54,-1,0.175798632452
c55,-1,0.293825900859
c56,1,0.766224384307
c57,-1,0.359562398254
c58,1,0.676716706496
c59,-1,0.408845140065
c60,-1,0.162685229661
c62,-1,0.524102748718
c63,-1,0.34423257242
c64,1,0.857926648046
c66,-1,0.229002209403
c69,-1,0.203154423284
c70,1,0.82538447957
c71,1,0.676049836049
c72,-1,0.23654359822
c73,1,0.797606161623
c74,-1,0.219788711134
c75,-1,0.176205117023
c76,-1,0.126342065329
c77,-1,0.158620400401
c78,-1,0.218711900973
c79,-1,0.135975059605
c80,-1,0.101437728796
c81,-1,0.142609270102
c83,-1,0.138147322812
c84,-1,0.129564543153
c85,-1,0.0747132222416
c86,-1,0.197303288773
c87,-1,0.147976254172
c88,-1,0.077088945378
c89,-1,0.134946157648
c90,-1,0.207799510611
c92,-1,0.10482921746
c93,1,0.568404771134
c95,-1,0.136825803727
c96,1,0.673206444418
c97,-1,0.130588472695
c103,-1,0.0685527218949
n1,1,0.703232984562
n2,1,0.638581367407
n3,-1,0.240806090377
n4,-1,0.243608950791
n5,-1,0.134763689361
n6,1,0.444208070569
n7,-1,0.188587540278
n8,-1,0.187706758413
n9,-1,0.281288470643
n10,1,0.559740278374
n11,1,0.583390576722
n12,-1,0.205108052042
n13,1,0.507942045614
n14,-1,0.145135377197
n15,-1,0.288012998371
n16,-1,0.145992575465
n17,-1,0.181072876958
n18,-1,0.208857657893
n19,-1,0.292239382689
n20,1,0.528295247818
n21,-1,0.363840493275
n22,-1,0.0786970808345
n23,-1,0.259744065706
n24,-1,0.22895670134
n28,-1,0.196695669135
n29,-1,0.119263266414
n32,-1,0.223702449391
n34,-1,0.195086315382
n35,-1,0.169301844058
n36,-1,0.422537642522
n37,-1,0.114820664348
n38,-1,0.204088367326
n40,1,0.405611537657
n41,-1,0.152434891663
n42,-1,0.225533764808
n43,-1,0.173334443332
n44,-1,0.248410139319
n45,1,0.532544084704
n46,-1,0.123816821699
n47,-1,0.156177889019
n48,-1,0.222799874617
n49,-1,0.170556834782
n50,-1,0.141112601666
n51,1,0.663586114964
n52,-1,0.301367336637
n53,-1,0.241040618272
n56,-1,0.238803822091
n57,1,0.587150590176
n59,1,0.790559191577
n60,1,0.746638690453
n61,-1,0.263065854937
n62,-1,0.231053411063
n63,1,0.764701028586
n64,-1,0.361677265527
n65,1,0.771338887036
n66,-1,0.133335774961
n67,-1,0.378496387152
n68,1,0.775702310498
n69,1,0.804797288254
n70,1,0.765803904263
n71,-1,0.229965328476
n72,1,0.678389560301
n73,1,0.651422172403
n75,1,0.457624029702
n76,-1,0.112575755178
n77,-1,0.128306287389
n78,-1,0.157197457998
n79,-1,0.17476167217
n80,-1,0.166882405314
n82,-1,0.164645653646
n84,-1,0.195300563225
n86,-1,0.0949171268388
n87,-1,0.243105287876
n88,-1,0.145609794141
n89,-1,0.155365684279
n93,-1,0.148302851397
n94,1,0.64880881051
n95,-1,0.0666557993014
n96,-1,0.151718068888
n97,-1,0.219838959264
n98,-1,0.113490513643
n99,-1,0.129608606239
n100,-1,0.150043287274
n101,-1,0.14584475199
