kernel,y,log_ML,LOO_log_P,R,tau,AUC,hypers,Predicted?,Saved?,alpha
structure,log_mKate,-180.027999,-170.031129,0.7344,0.5203,,"Hypers(var_n=0.38684255758656666, var_p=0.73135935038479105)",,yes,
52Structure,log_mKate,-181.224637,-170.730402,0.7331,0.5102,,"Hypers(var_n=0.33774736801502436, ell=31.691981964201805)",,,
SEStructure,log_mKate,-180.850198,-170.564363,0.7329,0.5127,,"Hypers(var_n=0.35810714050396281, sigma_f=1.0984562729694258, ell=29.882960853429108)",,,
structure,mKate_mean,-198.417273,-189.26343,0.6497,0.5187,,"Hypers(var_n=0.49601417616710297, var_p=0.7688939870698791)",,,
structure,log_GFP,-229.126842,-217.718818,0.4403,0.3073,,"Hypers(var_n=0.69476758549251949, var_p=1.3700254104103147)",,,
52Structure,log_GFP,-208.253334,-190.845813,0.6712,0.4889,,"Hypers(var_n=0.24986131995208322, ell=14.95491353130485)",,yes,
32Structure,log_GFP,-208.280592,-190.833492,0.6709,0.4896,,"Hypers(var_n=0.21950808637153094, ell=15.515410852407156)",,,
SEStructure,log_GFP,-208.466424,-191.28993,0.6687,0.4884,,"Hypers(var_n=0.2949880520354633, sigma_f=0.95714180802195414, ell=13.331456245714065)",,,
32Structure,GFP_above_parent,-117.009406,,,,1,Hypers(ell=0.34166790823271359),,,
structure,GFP_above_parent,85.406707,,,,0.7388,Hypers(var_p=1.5330516345816374),,,
32Structure,GFP_above_parent,-84.250449,,,,0.8264,Hypers(ell=28.822346156841395),,,
52Structure,GFP_above_parent,-84.265415,,,,0.8173,Hypers(ell=25.787021576846261),,yes,
SEStructure,GFP_above_parent,-81.371269,,,,0.9735,"Hypers(sigma_f=2.8839085972670704, ell=18.167484427770979)",,yes,
SEStructure,bin_GFP,-91.41439,,,,0.9988,"Hypers(sigma_f=5.8167359449509828, ell=18.385355758160031)",,yes,
SEStructure,intensity_ratio_above_parent,-102.782557,,,,0.9987,"Hypers(sigma_f=3.8380825366369038, ell=16.448776072725348)",,yes,
52Structure,GFP_above_parent,-117.009406,,,,1,Hypers(ell=0.37085543946098637),,yes (as 'no_guess'),
structure,mKate_mean,-290.9240761,-413.2950049,0.346065961,0.269514421,,Hypers(var_p=40.764020482544716),no,FALSE,
structure,mKate_mean,-198.4172726,-189.2634295,0.649666946,0.518656444,,Hypers(var_n=0.49601417616710297  var_p=0.7688939870698791),no,FALSE,
structure,mKate_mean,-290.9240187,-413.1605376,0.34601034,0.269222344,,Hypers(var_p=40.849225979413468),no,FALSE,
52Structure,GFP_mean,-195.3230714,-179.8410229,0.623624256,0.453231106,,Hypers(ell=16.249468607957422),no,FALSE,
52Structure,GFP_mean,-216.9644995,-205.0269869,0.600893963,0.427674334,,Hypers(var_n=0.48145305002850414  ell=20.241501221505423),no,FALSE,
SEStructure,GFP_mean,-213.0522105,-213.0523837,-0.008661873,0.215324772,,Hypers(sigma_f=0.7379824161575318  ell=0.90008722002512009),no,FALSE,
SEStructure,GFP_mean,-193.4008902,-177.8870359,0.629439905,0.451478642,,Hypers(sigma_f=0.71608148900336022  ell=10.232017466461819),no,FALSE,
SEStructure,intensity_ratio,-190.6277431,-181.1106627,0.555275731,0.426359985,,Hypers(sigma_f=0.72321685870124919  ell=10.295965560040372),no,FALSE,
SEStructure,intensity_ratio,-213.0139748,-203.4054306,0.578999372,0.415407083,,Hypers(var_n=0.4206065479248714  sigma_f=0.76985664592246583  ell=12.153283235099577),no,FALSE,
52Structure,intensity_ratio,-191.233343,-180.7785649,0.563686579,0.430595108,,Hypers(ell=16.658286683860922),no,FALSE,
52Structure,intensity_ratio,-214.0940994,-203.8443461,0.57546354,0.411317999,,Hypers(var_n=0.38694291356075222  ell=17.412849893729369),no,FALSE,
52Structure,sum_ratio,-219.8935238,-209.3438151,0.564539776,0.422855057,,Hypers(var_n=0.5286965083107289  ell=21.311107075814963),no,FALSE,
52Structure,mKate_mean,-184.7503006,-179.4276533,0.543163347,0.451916758,,Hypers(ell=16.229977284423796),no,FALSE,
