name,GFP_above_parent,pi
cschrimson,1,0.214884576983
c1c2,1,0.64837478947
cheriff,1,0.298285614913
c1,1,0.458583199695
c2,1,0.615353440795
c3,-1,0.187295154226
c4,-1,0.119134249895
c5,-1,0.194716076972
c6,1,0.344696213506
c7,1,0.397817693627
c8,-1,0.111902999828
c11,-1,0.168626757946
c13,-1,0.135664550013
c14,-1,0.179723478515
c15,-1,0.198541758582
c16,-1,0.22167134819
c19,-1,0.238474936502
c20,-1,0.146049423641
c21,1,0.543429904546
c24,-1,0.189589405047
c25,-1,0.182405575816
c28,-1,0.2538897171
c29,-1,0.147482834861
c30,-1,0.166933087557
c31,-1,0.204481233114
c32,-1,0.228629418072
c33,-1,0.118617968206
c34,-1,0.158514568963
c35,-1,0.182736143495
c36,-1,0.198702193099
c37,-1,0.168386287269
c39,-1,0.216629903407
c40,-1,0.142785898733
c41,1,0.398626226947
c42,1,0.423433943926
c43,-1,0.16448570775
c44,-1,0.235864460435
c46,-1,0.175247717062
c47,-1,0.152155098765
c48,-1,0.24588241698
c49,-1,0.168271945078
c50,1,0.413395253418
c51,-1,0.204648026137
c52,1,0.51011224003
c53,-1,0.148338485898
c54,-1,0.185309010707
c55,-1,0.288245018097
c56,1,0.648683180861
c57,-1,0.40228474699
c58,1,0.551061924307
c59,-1,0.405853310346
c60,-1,0.155909235726
c62,-1,0.319534999418
c63,-1,0.272456459788
c64,1,0.725139118189
c66,-1,0.272689614447
c69,-1,0.187504232409
c70,1,0.747684882296
c71,-1,0.398638024246
c72,-1,0.199306402733
c73,-1,0.591375731922
c74,-1,0.231848314959
c75,-1,0.133733106905
c76,-1,0.0706179819062
c77,-1,0.141345481394
c78,-1,0.17846366936
c79,-1,0.105494266438
c80,-1,0.100694517065
c81,-1,0.142267043666
c83,-1,0.154186622828
c84,-1,0.10367251044
c85,-1,0.0767676549087
c86,-1,0.185765910845
c87,-1,0.204720414864
c88,-1,0.068885468251
c89,-1,0.0923994198368
c90,-1,0.185262469511
c92,-1,0.078464897747
c93,-1,0.196249747771
c95,-1,0.143753241938
c96,1,0.579355803107
c97,-1,0.120071742597
c103,-1,0.0502593178598
n1,-1,0.332177088994
n2,1,0.53231322085
n3,-1,0.159972254776
n4,-1,0.202275579172
n5,-1,0.126625170142
n6,1,0.279837921184
n7,-1,0.152035202194
n8,-1,0.136426519791
n9,-1,0.243823743431
n10,-1,0.236645849585
n11,1,0.381911536692
n12,-1,0.179063381325
n13,1,0.370638338506
n14,-1,0.130015161138
n15,-1,0.20794081705
n16,-1,0.117950053021
n17,-1,0.127700872127
n18,-1,0.189038650648
n19,-1,0.207760288835
n20,-1,0.22276457787
n21,-1,0.357993119301
n22,-1,0.0627647979307
n23,-1,0.24389540177
n24,-1,0.182019092238
n28,-1,0.171546108579
n29,-1,0.0971315130728
n32,-1,0.156532522655
n34,-1,0.205701530946
n35,-1,0.187932789005
n36,-1,0.403468962256
n37,-1,0.121636623011
n38,-1,0.1990016845
n40,1,0.320542987739
n41,-1,0.253781161429
n42,-1,0.230966358185
n43,-1,0.196577893019
n44,-1,0.241381250579
n45,1,0.462901478626
n46,-1,0.107095057031
n47,-1,0.171364791683
n48,-1,0.240621541236
n49,-1,0.170862889734
n50,-1,0.184829030782
n51,1,0.500844579706
n52,-1,0.279584529811
n53,-1,0.272927585028
n56,-1,0.199805561038
n57,1,0.512602599644
n59,1,0.706472929114
n60,1,0.635054091151
n61,-1,0.255202954064
n62,-1,0.261084155975
n63,-1,0.448990568724
n64,-1,0.385665756181
n65,1,0.535074064296
n66,-1,0.127018559839
n67,-1,0.364231199128
n68,1,0.630950393339
n69,1,0.645158589398
n70,1,0.679089494371
n71,-1,0.243502188394
n72,1,0.464345625543
n73,1,0.542126239119
n75,-1,0.0956671392856
n76,-1,0.120175250519
n77,-1,0.0912093654818
n78,-1,0.0957851129469
n79,-1,0.120550351633
n80,-1,0.117776804596
n82,-1,0.166543075241
n84,-1,0.172253559454
n86,-1,0.0780853588688
n87,-1,0.165175590565
n88,-1,0.143481484576
n89,-1,0.144887150444
n93,-1,0.16183194411
n94,1,0.479907498625
n95,-1,0.0680727078691
n96,-1,0.118401111378
n97,-1,0.129717661567
n98,-1,0.0709539183511
n99,-1,0.0949258453829
n100,-1,0.162539091365
n101,-1,0.135038584698
