name,mKate_above_parent,pi
cschrimson,1,0.964662800176
c1c2,1,0.929675325911
cheriff,1,0.309101568258
c1,1,0.567976699739
c2,1,0.920377558986
c3,1,0.938792413735
c4,1,0.974763575128
c5,1,0.954297026752
c6,1,0.946404663056
c7,1,0.928389680139
c8,1,0.931219680296
c11,1,0.957328180636
c13,1,0.964333001673
c14,1,0.961853779687
c15,1,0.964945285512
c16,1,0.970776268073
c19,1,0.942878833914
c20,1,0.969718448837
c21,1,0.93574405383
c24,-1,0.829701824617
c25,1,0.938751234998
c28,1,0.883270634318
c29,1,0.820150467182
c30,1,0.960132709248
c31,1,0.829452790902
c32,1,0.803916351063
c33,1,0.895410153488
c34,-1,0.833758393868
c35,1,0.796528965685
c36,-1,0.408757364153
c37,-1,0.226003499394
c39,-1,0.396989592311
c40,-1,0.485695634638
c41,-1,0.471712091973
c42,1,0.47441418798
c43,-1,0.410955895282
c44,-1,0.348260348353
c46,-1,0.345190195384
c47,-1,0.256069811967
c48,-1,0.372687731104
c49,-1,0.411995439315
c50,1,0.562198064965
c51,1,0.38471577197
c52,-1,0.372503192731
c53,1,0.350389568726
c54,-1,0.38672810231
c55,1,0.814470821192
c56,1,0.911857779516
c57,1,0.942460333645
c58,1,0.906425086857
c59,1,0.891153043576
c60,1,0.821269921
c62,1,0.908012603614
c63,1,0.918893691051
c64,1,0.899383273532
c66,1,0.913498928983
c69,1,0.897231114852
c70,1,0.950416848964
c71,1,0.949762720351
c72,1,0.944042293288
c73,-1,0.910734372885
c74,1,0.880612102544
c75,1,0.754954005897
c76,1,0.822515598261
c77,1,0.84709108283
c78,1,0.917121321986
c79,1,0.832410814567
c80,1,0.787770497648
c81,1,0.94494050431
c83,1,0.70845674378
c84,1,0.744011732761
c85,1,0.949414410138
c86,1,0.846636649755
c87,1,0.9220305977
c88,1,0.742407741028
c89,1,0.619843276159
c90,1,0.934654516945
c92,-1,0.612218180723
c93,1,0.898935100084
c95,1,0.821532859022
c96,1,0.947673566887
c97,-1,0.464992520502
c103,1,0.621271348877
n1,1,0.600790525163
n2,1,0.913135505063
n3,1,0.933819314203
n4,1,0.927523483237
n5,1,0.974338466492
n6,1,0.959654144596
n7,1,0.939335650237
n8,1,0.928794553487
n9,1,0.962434513599
n10,1,0.944472111476
n11,1,0.942511723194
n12,1,0.952928996389
n13,1,0.93280545265
n14,1,0.963911320492
n15,1,0.962920580674
n16,1,0.967518917931
n17,1,0.935965779338
n18,1,0.963018451298
n19,1,0.968046837501
n20,1,0.962874092751
n21,1,0.915267004599
n22,1,0.952345599023
n23,-1,0.694804683344
n24,1,0.886518033814
n28,1,0.908723314838
n29,1,0.806630541715
n32,1,0.93215304487
n34,1,0.911884479117
n35,1,0.819860385084
n36,1,0.459048761756
n37,-1,0.470026093479
n38,-1,0.234107830181
n40,1,0.428179382975
n41,-1,0.467020365196
n42,-1,0.315851822724
n43,-1,0.404181221785
n44,1,0.43299717423
n45,1,0.39085614853
n46,-1,0.356826656615
n47,-1,0.252540405243
n48,-1,0.329869505282
n49,-1,0.466437294024
n50,-1,0.343299093416
n51,1,0.614692807463
n52,-1,0.336850217463
n53,1,0.453154126934
n56,1,0.916515305681
n57,1,0.943150995528
n59,1,0.862120195159
n60,1,0.920068100045
n61,1,0.78213908207
n62,-1,0.911613399796
n63,-1,0.866950012518
n64,1,0.882733830754
n65,1,0.943020190828
n66,1,0.953736104016
n67,1,0.918408584408
n68,1,0.930334171604
n69,1,0.912146407218
n70,1,0.955404591437
n71,1,0.91462799528
n72,1,0.907163775731
n73,1,0.920407503422
n75,-1,0.597767596927
n76,1,0.955180195581
n77,1,0.666614930124
n78,-1,0.552409574211
n79,1,0.754007981282
n80,1,0.774047011443
n82,1,0.923831398081
n84,1,0.846987055069
n86,1,0.79268871215
n87,1,0.812472857388
n88,1,0.897496571847
n89,1,0.845945894492
n93,1,0.685045888291
n94,1,0.852508332427
n95,1,0.893695426002
n96,1,0.884831894174
n97,1,0.587876849976
n98,1,0.680367727178
n99,-1,0.564215491663
n100,1,0.907873298545
n101,1,0.940497092849
