name,intensity_ratio_above_parent,pi
cschrimson,1,0.527196134848
c1c2,1,0.865560806508
cheriff,1,0.863888930836
c1,1,0.828595193663
c2,1,0.774741597581
c3,-1,0.513605414985
c4,-1,0.177244590617
c5,1,0.577046568505
c6,1,0.665128540815
c7,1,0.650144008316
c8,-1,0.206402961574
c11,-1,0.466991916305
c13,-1,0.206988176898
c14,-1,0.372025991526
c15,-1,0.312141287792
c16,-1,0.406108795254
c19,-1,0.377758115746
c20,-1,0.258597578613
c21,1,0.712419077233
c24,1,0.66752187318
c25,-1,0.167252482635
c28,1,0.710936168759
c29,-1,0.203481168757
c30,-1,0.179228520119
c31,-1,0.250334364937
c32,-1,0.297049944834
c33,1,0.597496153701
c34,1,0.63866745762
c35,-1,0.28517571809
c36,-1,0.383781218397
c37,1,0.748827335822
c39,1,0.827564738202
c40,1,0.776153891186
c41,1,0.730100910962
c42,1,0.797924595381
c43,1,0.686432247026
c44,1,0.763896982752
c46,-1,0.414451873104
c47,-1,0.349894972547
c48,1,0.779693831965
c49,1,0.725722332641
c50,1,0.724266752056
c51,-1,0.356547444698
c52,1,0.806145131803
c53,-1,0.272655592642
c54,1,0.671199749833
c55,-1,0.338073130352
c56,1,0.779362657886
c57,-1,0.363979947686
c58,1,0.715934554202
c59,-1,0.472402812407
c60,1,0.626440569918
c62,-1,0.579164162145
c63,-1,0.358073142562
c64,1,0.893647816692
c66,-1,0.44527709713
c69,-1,0.347235464068
c70,1,0.859885577217
c71,1,0.646892849396
c72,-1,0.249451871642
c73,1,0.875081421766
c74,1,0.696379001559
c75,-1,0.198612716091
c76,-1,0.246792494823
c77,-1,0.183581929282
c78,-1,0.210656117565
c79,-1,0.201648458546
c80,-1,0.193026353364
c81,-1,0.152450358707
c83,-1,0.206612148267
c84,-1,0.170230087501
c85,-1,0.0969895528321
c86,-1,0.218862093815
c87,-1,0.229586411013
c88,-1,0.151556509273
c89,-1,0.222101265502
c90,-1,0.165052765793
c92,1,0.537155717386
c93,1,0.649163569567
c95,-1,0.260069991191
c96,1,0.714580262241
c97,-1,0.242135556308
c103,-1,0.122050705319
n1,1,0.82307724506
n2,1,0.748188756287
n3,1,0.699008643491
n4,1,0.703070909338
n5,-1,0.158688239295
n6,1,0.573064446693
n7,1,0.612716355204
n8,-1,0.202193682965
n9,-1,0.484580688085
n10,1,0.613661524062
n11,1,0.632626127613
n12,1,0.674307548913
n13,1,0.756066456346
n14,-1,0.151895942595
n15,-1,0.433585523908
n16,-1,0.191689288535
n17,-1,0.263507165759
n18,1,0.643680313371
n19,-1,0.302527165052
n20,1,0.629761552608
n21,1,0.887109710661
n22,-1,0.0427544923193
n23,1,0.696772107562
n24,-1,0.304857460019
n28,-1,0.195262292844
n29,-1,0.232964617621
n32,-1,0.264994845425
n34,-1,0.261494678519
n35,-1,0.211315832139
n36,1,0.814471214923
n37,-1,0.220099365724
n38,1,0.810199654541
n40,1,0.696203477906
n41,1,0.753224780727
n42,1,0.814227821001
n43,1,0.761912448759
n44,1,0.842832091553
n45,1,0.802001003287
n46,-1,0.1688306688
n47,-1,0.40106288743
n48,1,0.831919487162
n49,-1,0.360930488372
n50,-1,0.442167712866
n51,1,0.810056739224
n52,1,0.826106891048
n53,-1,0.549682648271
n56,-1,0.16388870132
n57,1,0.665461320977
n59,1,0.846649672362
n60,1,0.743432174059
n61,-1,0.283742349289
n62,1,0.619323029554
n63,1,0.834267290885
n64,1,0.741203183897
n65,1,0.784749827376
n66,-1,0.0946216461945
n67,1,0.809859055974
n68,1,0.836468611794
n69,1,0.878143503268
n70,1,0.805728031182
n71,-1,0.428899230928
n72,1,0.771769439536
n73,1,0.789190105905
n75,1,0.68367972607
n76,-1,0.214433515105
n77,1,0.632574990709
n78,-1,0.310885601352
n79,-1,0.182847759494
n80,-1,0.233834885201
n82,1,0.707163096967
n84,-1,0.206522214765
n86,-1,0.155642381763
n87,1,0.767996987833
n88,-1,0.213699424356
n89,-1,0.211087929283
n93,-1,0.247323141084
n94,1,0.746132836814
n95,-1,0.0889867208916
n96,-1,0.122959654208
n97,-1,0.358689790167
n98,1,0.504578385727
n99,-1,0.291770254927
n100,-1,0.169731814127
n101,-1,0.203498478162
