name,mKate_above_parent,pi
c80,1,0.854065886118
c81,1,0.942077360174
c83,1,0.830994562048
c84,1,0.773870861739
c85,1,0.945390420656
c86,1,0.913404897802
c87,1,0.93651170102
c88,1,0.814546928138
c1_2,1,0.961658211727
n38,-1,0.366665551965
n39,-1,0.470341356595
c2_2,1,0.958517542218
n2_2,1,0.936899527123
n32,1,0.95605978734
n34,1,0.912226243291
n35,1,0.900239418795
n36,1,0.475310099409
n37,-1,0.552464102155
n7_2,1,0.756064789721
n6_2,1,0.906548615373
c19,1,0.952584463653
n5_2,1,0.958019670996
c89,-1,0.581064732117
c13,1,0.962588524762
c12,-1,0.924151041589
c11,1,0.909574370339
n4_2,1,0.966819158978
c16,1,0.956307702329
c15,1,0.954593748271
c14,1,0.938502327458
cschrimson,1,0.945912496802
n84,1,0.927081666388
n87,1,0.890401184003
n86,1,0.892458083049
n80,1,0.895631040921
n83,1,0.95226611982
n82,1,0.906325304875
n89,1,0.913110832843
n88,1,0.840922816433
n12,1,0.939552985428
n13,1,0.947204726079
n10,1,0.926618128105
n11,1,0.922975176059
n16,1,0.94100245523
n17,1,0.941400539552
n14,1,0.95688108629
n15,1,0.94806369705
n18,1,0.96525531621
n19,1,0.936499698573
c100,1,0.921064026264
c101,-1,0.593214977341
c102,1,0.80462338021
c103,1,0.81111846007
n98,1,0.846511583508
n99,1,0.710340421088
n93,1,0.86455900341
n90,-1,0.898563219346
n96,1,0.868732965966
n97,1,0.825918926479
n94,1,0.867730507269
n95,1,0.88648789701
c39,-1,0.516788346642
c38,-1,0.451998729475
cheriff,1,0.453210635912
c1c2,1,0.974687734922
c35,1,0.869132310985
c34,1,0.909748710474
c37,-1,0.318499891713
c36,1,0.611088894579
c31,1,0.962054373963
c30,1,0.949169772262
c33,1,0.923702173272
c32,1,0.889003469654
n67,1,0.961781976507
n66,1,0.966443607584
n65,1,0.97550267335
n64,1,0.963433024403
n63,1,0.967793633716
n62,-1,0.924253975141
n61,1,0.946967197857
n60,1,0.970260488448
n69,1,0.973173105819
n68,1,0.972698848419
c20,1,0.944734735555
c21,1,0.966130197766
c24,-1,0.800410837867
c25,1,0.963692650298
c28,1,0.941534985265
c29,1,0.858503265156
c4_2,1,0.975133720168
n75,1,0.90496461731
n76,1,0.88970787885
n77,1,0.817343914748
n70,1,0.972553546152
n71,1,0.946816002405
n72,1,0.972952916083
n73,1,0.971844874188
n78,-1,0.781253439722
n79,1,0.883601836266
c57,1,0.97428294254
c56,1,0.961264225146
c55,1,0.940155817257
c54,-1,0.565265455131
c53,1,0.545004683456
c52,-1,0.452996795585
c51,-1,0.510537980163
c50,1,0.761618552618
c59,1,0.955932344474
c58,1,0.972839329456
n1_2,1,0.882659645671
n49,1,0.64881335825
n48,1,0.488730013441
n41,-1,0.51633697527
n40,1,0.637532379367
n43,-1,0.502180204273
n42,-1,0.534353197227
n45,-1,0.447899406191
n44,-1,0.523709101853
n47,1,0.467477000334
n46,1,0.648802015013
c8,1,0.913422110126
c3,1,0.898903694846
c2,1,0.974834821481
c1,1,0.720337482992
c7,1,0.872289349115
c6,1,0.927483989758
c5,1,0.938563160411
c4,1,0.965512536855
c44,-1,0.553968431888
c46,1,0.561204707076
c47,-1,0.451313629467
c40,-1,0.630850634416
c41,1,0.556187408656
c42,1,0.483151445632
c43,-1,0.446464376753
c48,-1,0.445409109908
c49,1,0.597866698575
n3_2,1,0.874755655448
n58,1,0.971273089187
n59,1,0.949960555012
n56,1,0.954776732522
n57,1,0.974068956453
n52,1,0.695587546907
n53,1,0.520287856292
n50,1,0.520971218906
n51,1,0.676417104796
c79,1,0.92163246418
c78,1,0.945711360144
c71,1,0.975088046328
c70,1,0.976597348694
c73,1,0.972827510222
c72,1,0.96321940509
c75,1,0.824979959418
c74,1,0.811410893586
c77,1,0.881511913019
c76,1,0.816907101473
c93,1,0.931362756638
c92,1,0.81541347118
c90,1,0.934402687922
c97,-1,0.574685316751
c96,1,0.950587400127
c95,1,0.892889577839
n29,1,0.878376090576
n28,1,0.950454100452
n23,1,0.936194585907
n22,1,0.949120166195
n21,1,0.967160098359
n20,1,0.943231835162
n25,1,0.925480709208
n24,1,0.91135739542
c69,1,0.956212644282
c66,1,0.953438785728
c67,1,0.972423689054
c64,1,0.956917460107
c62,1,0.973796446766
c63,1,0.966650233287
c60,1,0.907116182566
c61,1,0.967796712667
n8,1,0.927728910481
n9,1,0.921827686068
n8_2,1,0.974434940486
n101,1,0.906605194124
n100,1,0.921315562868
n1,1,0.726520212012
n2,1,0.976741842752
n3,1,0.941032656282
n4,1,0.917035007551
n5,1,0.95824279026
n6,1,0.941217021882
n7,1,0.885300201459
