chimera,mKate_mean,mKate_std,GFP_mean,GFP_std,GFP_mKate_cell,GFP_mKate_cell_std,cell
c80,0.007302965,0.003869757,0.006731664,0.005964212,1.418521795,2.110047038,200
c81,0.019082241,0.009310819,0.007498487,0.003937391,0.762382828,1.597514749,319
c82,0.006111105,0.004380124,0.011378856,0.011315464,3.185917073,4.031309695,251
c83,0.005640735,0.002587996,0.006856799,0.008045633,1.74501012,2.660648852,126
c84,0.007592236,0.004270364,0.006496274,0.00418502,1.341066867,1.740032134,170
c85,0.014925388,0.010066327,0.008417861,0.007803747,1.561214937,2.834957288,162
c86,0.025506763,0.008474807,0.006853731,0.008058853,0.625535032,2.55513728,572
c87,0.015018159,0.010627421,0.011287476,0.011902883,2.388433881,4.231397287,138
c88,0.006681197,0.004832729,0.008298134,0.011268653,2.533199818,4.475127855,268
skip,0.011810516,0.008005019,0.01237215,0.009759658,1.579582281,1.655616346,93121
2c1,0.014866151,0.010153314,0.012443365,0.005011054,1.445006872,1.141925589,4951
n38,0.004012046,0.001713722,0.007191091,0.003829502,1.987989683,1.349558095,516
n39,0.003803358,0.000537168,0.008806681,0.002624713,2.321970139,0.71214606,252
2c2,0.011482283,0.007944461,0.005842389,0.008505336,1.411702139,3.40593672,256
2n2,0.007695172,0.006401263,0.007921551,0.008640178,2.265334341,3.268721163,184
n30,0.007194106,0.004717612,0.010731312,0.01569596,3.512926909,6.168385103,178
n31,0.007250301,0.004859953,0.005916761,0.009750993,1.599497003,3.692949964,264
n32,0.01277436,0.005450771,0.004482824,0.005577934,0.667906004,2.140170301,617
n33,0.003687386,0.001799575,0.008612888,0.008593036,3.039781711,3.346850866,122
n34,0.009431851,0.004219509,0.005440666,0.006236178,1.098770565,2.313467611,513
n35,0.006068675,0.003606209,0.006246297,0.006141178,1.654811506,2.431538872,262
n36,0.005601113,0.001685539,0.007097237,0.002552689,1.401637583,0.933917017,1064
n37,0.004552384,0.002480956,0.006260944,0.003780273,1.863760986,1.483483726,125
2n7,0.007140729,0.005805608,0.008942259,0.014259715,2.591317349,4.845082452,158
2n6,0.008811934,0.00590159,0.006496686,0.008388038,1.600502996,3.160485419,175
c19,0.015490314,0.007244969,0.004516779,0.004989405,0.688604784,1.732563902,386
c18,0.018193538,0.011525746,0.004520573,0.00340145,0.675342698,1.314224069,206
2n5,0.009267753,0.006434557,0.011230825,0.00646563,1.729330356,1.222430731,4062
c89,0.003716541,0.001885307,0.013492915,0.011166736,4.596034408,4.080862263,278
c13,0.006979348,0.004315926,0.005159709,0.005601581,1.278964579,2.08994446,142
c12,0.021322281,0.008390305,0.004752558,0.005097735,0.560135884,1.92796571,2008
c11,0.018097481,0.006933595,0.005963202,0.002313013,0.502923161,0.880088667,778
2n4,0.006419265,0.005117634,0.007266585,0.003189017,1.647098825,1.096436348,1579
c17,0.008351839,0.005304858,0.006215722,0.007488824,1.534207748,2.761187204,121
c16,0.024186467,0.011124996,0.007360018,0.003108356,0.539064374,0.908876047,406
c15,0.023636459,0.011631061,0.004944605,0.010820837,0.799562633,4.282981657,364
c14,0.020271127,0.007973565,0.004243065,0.007193563,0.504697845,2.229823155,569
CsCbChR1,0.006195081,0.002207183,0.00369869,0.003847179,0.82623701,1.46925658,143
CsChrim,0.012199925,0.006792605,0.018480987,0.010416427,1.94821029,1.351305294,124960
empty ,0.003224869,0.001638423,0.011693852,0.008397546,4.180011706,3.251007589,138
n85,0.005371229,0.002370441,0.00522826,0.006975292,1.289433447,2.234852523,499
n84,0.011781604,0.004602158,0.005928075,0.00198225,0.588210469,0.72345157,1136
n87,0.004670979,0.002579387,0.006661897,0.003816148,1.789306005,1.451729475,126
n86,0.007222459,0.003721839,0.007750097,0.007237758,1.639327997,2.369158523,177
n81,0.005303189,0.003484526,0.009350296,0.011393243,2.626713963,3.522855854,222
n80,0.011957141,0.007004486,0.012000423,0.016074812,2.158592227,3.767523131,388
n83,0.021347552,0.008736172,0.008595851,0.004752614,0.684472653,0.953306307,482
n82,0.010984437,0.006882532,0.009758764,0.003708038,1.413732151,1.159441034,1680
n89,0.011836073,0.005798627,0.005933705,0.005275087,0.891761686,2.027924285,309
n88,0.007270291,0.003995644,0.006231106,0.008454334,1.365050502,2.713654858,215
n12,0.006153525,0.00438358,0.008998016,0.007863625,2.684819636,3.164342151,232
n13,0.012553924,0.009010951,0.018329687,0.009927948,2.162711089,1.423076255,1935
n10,0.014228502,0.007977369,0.006866334,0.002263348,0.757092359,0.824433177,1433
n11,0.011014569,0.005857618,0.011286312,0.004275005,1.454151036,1.028195766,2303
n16,0.008378247,0.004808784,0.007850914,0.009024898,1.838146368,3.096031308,121
n17,0.012039665,0.005717575,0.008500446,0.011901296,1.845340782,4.347447367,260
n14,0.018221244,0.008056403,0.005540565,0.004468076,0.484716024,1.554869299,1604
n15,0.01824985,0.007273152,0.005988568,0.002591773,0.485101618,0.794415637,795
n18,0.013453781,0.007900515,0.007340311,0.004889606,0.976923685,1.700599286,1365
n19,0.018065939,0.009735077,0.006124039,0.003187982,0.736378177,1.226900339,914
c100,0.020422288,0.012077247,0.005113051,0.006671775,0.737658756,2.373026756,878
c101,0.004907043,0.004126022,0.011431528,0.012177715,3.456706889,3.981898902,177
c102,0.007353426,0.002705793,0.006431677,0.008599093,1.408706377,2.582657922,221
