name,y,pi
c80,-1,0.0914021332065
c81,-1,0.1471389758
c82,-1,0.174757279096
c83,-1,0.132492333929
c84,-1,0.099303111073
c85,-1,0.0841009198252
c86,-1,0.18267891065
c87,-1,0.209095734655
c88,-1,0.0646380740432
c89,-1,0.0934653455355
n38,-1,0.187594835665
n30,1,0.354422204584
n31,-1,0.116345635204
n32,-1,0.151979601302
n33,-1,0.164363556503
n34,-1,0.195495113854
n35,-1,0.176639590364
n36,-1,0.380768833344
n37,-1,0.141814231947
c19,-1,0.216788395264
c18,-1,0.180913492404
c1c2,1,0.18268112697
c13,-1,0.122696130107
c12,-1,0.162027197848
c11,-1,0.165852998863
c17,-1,0.104797739804
c16,-1,0.211070817935
c15,-1,0.187169993362
c14,-1,0.159520406077
n85,-1,0.148835139856
n84,-1,0.162262298464
n87,-1,0.189412800749
n86,-1,0.0672182022881
n81,-1,0.0812610140491
n80,-1,0.131319989531
n82,-1,0.188858566653
n89,-1,0.153639048303
n88,-1,0.131520823061
cheriff,1,0.280159181393
n12,-1,0.160176979186
n13,1,0.328821082644
n10,-1,0.188216655881
n11,1,0.333926903375
n16,-1,0.106986707362
n17,-1,0.135876329396
n14,-1,0.118463367554
n15,-1,0.180272113108
n18,-1,0.170400339716
n19,-1,0.16704446465
c100,-1,0.169580659357
c101,-1,0.151699649478
c103,-1,0.048484352139
n98,-1,0.0642553951408
n99,-1,0.0748180284702
n92,1,0.409273835813
n93,-1,0.177791296872
n90,-1,0.0839259130439
n91,-1,0.145952376611
n96,-1,0.116698719849
n97,-1,0.129465136629
n94,1,0.424876722979
n95,-1,0.0932762243178
c39,-1,0.19675747623
c35,-1,0.190468101927
c34,-1,0.130695397359
c37,-1,0.160063034942
c36,-1,0.211260599894
c31,-1,0.19124220944
c30,-1,0.175878457134
c33,-1,0.150887690057
c32,-1,0.217215841188
n67,-1,0.394057087545
n66,-1,0.137802132356
n65,1,0.517765672635
n64,-1,0.396878149579
n63,-1,0.435376795243
n62,-1,0.274252300765
n61,-1,0.232466162004
n60,1,0.575472878755
n69,1,0.612943292453
n68,1,0.584576725186
c23,-1,0.206934451
c20,-1,0.13400509739
c21,1,0.524250474309
c26,-1,0.151845786788
c24,-1,0.200794230367
c25,-1,0.178454980618
c28,-1,0.235786921425
c29,-1,0.142036055317
n75,-1,0.0835576995302
n76,-1,0.156083975842
n77,-1,0.0962073848374
n70,1,0.625004776542
n71,-1,0.261445955952
n72,1,0.481534468345
n73,1,0.489176566866
n78,-1,0.102916780545
n79,-1,0.0929237625587
c57,-1,0.41444203483
c56,1,0.593854399236
c55,-1,0.272301796589
c54,-1,0.175686759439
c53,-1,0.134534012808
c52,1,0.477940526541
c51,-1,0.194887625257
c50,1,0.359639653901
c59,-1,0.366676854105
c58,1,0.51537655115
c70,1,0.707896406071
n49,-1,0.146778487493
n48,-1,0.22816555704
n41,-1,0.243504193228
n40,1,0.258610207998
n43,-1,0.220687010019
n42,-1,0.21849854722
n45,1,0.44034216691
n44,-1,0.201022300628
n47,-1,0.154319135403
n46,-1,0.109733820656
c8,-1,0.104394669428
c3,-1,0.150403868377
c2,1,0.579410270652
c1,1,0.438864778062
c7,1,0.341007458826
c6,1,0.300809375503
c5,-1,0.169851142937
c4,-1,0.126675299051
c44,-1,0.213487805958
c46,-1,0.18148844382
c47,-1,0.137245655301
c40,-1,0.136707697892
c41,1,0.349225530352
c42,1,0.397311140629
c43,-1,0.162450486559
c48,-1,0.23740615638
c49,-1,0.168143161056
n59,1,0.727699737378
n56,-1,0.186638712346
n57,1,0.501632791915
n54,-1,0.261666826785
n52,-1,0.2607993117
n53,-1,0.261599097136
n50,-1,0.212639737377
n51,1,0.483056873803
c79,-1,0.101248895484
c78,-1,0.18002844217
c71,-1,0.394716104598
cschrimson,1,0.612265618453
c73,-1,0.56418483439
c72,-1,0.20428357708
c75,-1,0.112541673475
c74,-1,0.242798647568
c77,-1,0.129556337762
c76,-1,0.0717159026792
c93,-1,0.189543306579
c92,-1,0.0721381884745
c91,-1,0.0600430335484
c90,-1,0.185743766884
c97,-1,0.112752659361
c96,1,0.552181499111
c95,-1,0.143766530099
c94,-1,0.10629294886
c99,-1,0.129552713098
c98,-1,0.0699810534602
n29,-1,0.105490224396
n28,-1,0.192052816632
n23,-1,0.275542947731
n22,-1,0.0631221006357
n21,-1,0.360504503035
n20,-1,0.227213510697
n27,-1,0.233460608403
n26,-1,0.174133359078
n24,-1,0.207878019836
c68,-1,0.379673256582
c69,-1,0.20241141773
c66,-1,0.293653734841
c64,1,0.706577698747
c62,-1,0.312343004288
c63,-1,0.274334058875
c60,-1,0.171516944138
n8,-1,0.120553064142
n9,-1,0.226420619763
n102,-1,0.0512977578206
n101,-1,0.145525673738
n100,-1,0.172118331095
n1,-1,0.339458975714
n2,1,0.497144014208
n3,-1,0.130377476183
n4,-1,0.160504531985
n5,-1,0.138250700497
n6,1,0.240529393764
n7,-1,0.17017811482
