name,mKate_above_parent,pi
c80,1,0.779582838403
c81,1,0.948977629645
c82,1,0.751792361518
c83,1,0.762058315442
c84,1,0.84818118833
c85,1,0.966154843924
c86,1,0.925858739258
c87,1,0.959463110974
c88,1,0.788979374459
c89,1,0.668754394996
n38,-1,0.246780049659
n30,1,0.897359371052
n31,1,0.817861931371
n32,1,0.949769461936
n33,-1,0.849671237634
n34,1,0.887496159913
n35,1,0.896598068793
n36,1,0.496599704556
n37,-1,0.505218106126
c19,1,0.91450806298
c18,1,0.939064197916
c1c2,1,0.943417734181
c13,1,0.938347222718
c12,1,0.939549417234
c11,1,0.937426265211
c17,-1,0.927886862131
c16,1,0.970194098873
c15,1,0.943222160543
c14,1,0.938078738516
n85,1,0.828141039538
n84,1,0.900125865417
n87,1,0.925407463985
n86,1,0.868847876226
n81,1,0.877688887727
n80,1,0.854483707039
n82,1,0.931537976675
n89,1,0.906366488439
n88,1,0.920028696573
cheriff,1,0.358416891463
n12,1,0.942892311037
n13,1,0.924462689639
n10,1,0.926558534086
n11,1,0.873320685832
n16,1,0.96086389419
n17,1,0.909550948579
n14,1,0.940370353407
n15,1,0.943012657352
n18,1,0.946110316448
n19,1,0.950168603962
c100,1,0.912242355726
c101,-1,0.510176473615
c103,1,0.644852662888
n98,1,0.871532502242
n99,1,0.799372690538
n92,1,0.734559504026
n93,1,0.722768626225
n90,1,0.979026233439
n91,1,0.805469595237
n96,1,0.968619177774
n97,1,0.757925360021
n94,1,0.892752766372
n95,1,0.915305271604
c39,-1,0.479042728502
c35,1,0.83590376567
c34,-1,0.793259128347
c37,-1,0.238481316442
c36,-1,0.456724974648
c31,1,0.886103314343
c30,1,0.937613179194
c33,1,0.927859769903
c32,1,0.823722225846
n67,1,0.979246042975
n66,1,0.981374198746
n65,1,0.980032548288
n64,1,0.946035917615
n63,-1,0.966891926737
n62,1,0.978022347416
n61,1,0.928009559995
n60,1,0.984452205485
n69,1,0.967307628335
n68,1,0.980964553127
c23,1,0.758161645037
c20,1,0.955902243539
c21,1,0.952703458031
c26,1,0.821718517
c24,1,0.906195611466
c25,1,0.969194132859
c28,1,0.907998583922
c29,1,0.804807345972
n75,1,0.767362069693
n76,1,0.952114557683
n77,1,0.796075601566
n70,1,0.986585357572
n71,1,0.977168414224
n72,1,0.973693162035
n73,1,0.973890447612
n78,-1,0.681601891531
n79,1,0.853283980327
c57,1,0.988047577333
c56,1,0.9701295586
c55,1,0.92719484207
c54,-1,0.446488103954
c53,1,0.417684798185
c52,-1,0.487023323873
c51,1,0.47566822878
c50,1,0.724962288285
c59,1,0.966927824763
c58,1,0.980579982026
c70,1,0.981703285657
n49,1,0.654596484798
n48,-1,0.401223341521
n41,-1,0.39860843118
n40,1,0.536028853374
n43,-1,0.405867916112
n42,-1,0.347174807793
n45,1,0.507349571307
n44,1,0.584115373254
n47,-1,0.262863285434
n46,-1,0.474239190922
c8,1,0.906224936928
c3,1,0.908362114053
c2,1,0.970440543402
c1,1,0.598599334951
c7,1,0.884870220006
c6,1,0.904587178063
c5,1,0.93909527488
c4,1,0.965317901601
c44,-1,0.380945227232
c46,1,0.458883688432
c47,-1,0.254309895723
c40,-1,0.553727991684
c41,-1,0.478316431074
c42,1,0.494996010817
c43,-1,0.459017975178
c48,-1,0.354623544257
c49,-1,0.495009566384
n59,1,0.937137324767
n56,1,0.966768234876
n57,1,0.987421899151
n54,1,0.629320473174
n52,-1,0.391252739217
n53,1,0.47715522755
n50,-1,0.307663807686
n51,1,0.695004626846
c79,1,0.881948854397
c78,1,0.957266292296
c71,1,0.980570376127
cschrimson,1,0.981821247521
c73,1,0.972986698854
c72,1,0.983772144644
c75,1,0.836058472933
c74,1,0.920385971551
c77,1,0.909733222304
c76,1,0.873763300933
c93,1,0.932759805639
c92,-1,0.674820871545
c91,1,0.781772616907
c90,1,0.96476053985
c97,-1,0.497460693532
c96,1,0.975395819008
c95,1,0.855497885751
c94,1,0.850243504787
c99,1,0.934786243364
c98,1,0.736999742984
n29,1,0.796926465399
n28,1,0.896062873685
n23,-1,0.624920023483
n22,1,0.947846721808
n21,1,0.944971506344
n20,1,0.951122422695
n27,-1,0.632388049175
n26,1,0.898541345111
n24,1,0.919391857425
c68,1,0.979158389451
c69,1,0.956197026642
c66,1,0.977993302021
c64,1,0.973192558094
c62,1,0.967203641823
c63,1,0.975218590639
c60,1,0.917543990879
n8,1,0.928798260433
n9,1,0.943617476015
n102,1,0.879622280244
n101,1,0.973338928681
n100,1,0.959396313502
n1,1,0.582565607146
n2,1,0.965736076258
n3,1,0.901078554285
n4,1,0.887908780675
n5,1,0.963690942099
n6,1,0.93283103126
n7,1,0.889206570277
