name,y,pi
c80,-1,0.105682455204
c81,-1,0.167083536251
c82,-1,0.16535877332
c83,-1,0.134466420885
c84,-1,0.100385671834
c85,-1,0.0724213450673
c86,-1,0.183643969955
c87,-1,0.185772239933
c88,-1,0.0553369714402
c89,-1,0.0897638598644
n38,-1,0.205734435314
n30,-1,0.111764160648
n31,-1,0.132634386732
n32,-1,0.173670934148
n33,-1,0.151853970692
n34,-1,0.191648791814
n35,-1,0.161609369197
n36,-1,0.411426493869
n37,-1,0.104574666266
c19,-1,0.240478681779
c18,-1,0.188430306251
c1c2,1,0.240656316661
c13,-1,0.1199049625
c12,-1,0.200873093402
c11,-1,0.163481832961
c17,-1,0.093222502719
c16,-1,0.294927041751
c15,-1,0.239313809622
c14,-1,0.203091055614
n85,-1,0.130666589377
n84,-1,0.188152959905
n87,-1,0.212774787545
n86,-1,0.0675458887875
n81,-1,0.0869415450163
n80,-1,0.133448834224
n82,-1,0.174121708693
n89,-1,0.164170066291
n88,-1,0.177006700339
cheriff,1,0.295844290843
n12,-1,0.15910851181
n13,1,0.402559722546
n10,-1,0.228072419815
n11,1,0.493917435378
n16,-1,0.118789637148
n17,-1,0.119355521657
n14,-1,0.116820314995
n15,-1,0.229897118334
n18,-1,0.187302348467
n19,-1,0.195970407521
c100,-1,0.175589027037
c101,-1,0.152874159566
c103,-1,0.0406157861344
n98,-1,0.0718988646122
n99,-1,0.0808565576406
n92,1,0.455222133431
n93,-1,0.159668928209
n90,-1,0.0827389434308
n91,-1,0.129739383797
n96,-1,0.103997535993
n97,-1,0.118677313206
n94,1,0.537912706169
n95,-1,0.0690386722436
c39,-1,0.19680623033
c35,-1,0.173624778007
c34,-1,0.147996951137
c37,-1,0.175885989789
c36,-1,0.186416285145
c31,-1,0.170180454901
c30,-1,0.157584133448
c33,-1,0.0837792472404
c32,-1,0.195375538692
n67,-1,0.412144926357
n66,-1,0.117360739051
n65,1,0.563335557926
n64,-1,0.388819383301
n63,-1,0.427431263666
n62,-1,0.237951193844
n61,-1,0.221514861836
n60,1,0.630348004826
n69,1,0.639485879621
n68,1,0.613423151051
c23,-1,0.179925022157
c20,-1,0.162136291271
c21,1,0.610756621148
c26,-1,0.12804971629
c24,-1,0.17149679311
c25,-1,0.149088924403
c28,-1,0.258089009696
c29,-1,0.116660391272
n75,-1,0.0852936744599
n76,-1,0.125145249395
n77,-1,0.0801448221989
n70,1,0.694506358335
n71,-1,0.241709525276
n72,1,0.492889331623
n73,1,0.503656190971
n78,-1,0.110534035467
n79,-1,0.0954628594198
c57,-1,0.394266837771
c56,1,0.663365532435
c55,-1,0.255499330335
c54,-1,0.186289488065
c53,-1,0.125264557501
c52,1,0.518511934298
c51,-1,0.186839985395
c50,1,0.413196719354
c59,-1,0.329270170605
c58,1,0.543691456746
c70,1,0.793698944556
n49,-1,0.16597564583
n48,-1,0.233287172473
n41,-1,0.247526541804
n40,1,0.328068462872
n43,-1,0.20028104328
n42,-1,0.235876362248
n45,1,0.462976101711
n44,-1,0.185295380604
n47,-1,0.151903022906
n46,-1,0.102912056983
c8,-1,0.0983498067144
c3,-1,0.197491119311
c2,1,0.60339331884
c1,1,0.454129114194
c7,1,0.424569670379
c6,1,0.386583123246
c5,-1,0.211825738435
c4,-1,0.106464950296
c44,-1,0.234775847831
c46,-1,0.162994976353
c47,-1,0.132750387878
c40,-1,0.123138904836
c41,1,0.430005717769
c42,1,0.429953829913
c43,-1,0.142757408053
c48,-1,0.238741384651
c49,-1,0.172241536901
n59,1,0.739135869088
n56,-1,0.204742714728
n57,1,0.503921518735
n54,-1,0.257015463723
n52,-1,0.281115207684
n53,-1,0.268604722332
n50,-1,0.17515326245
n51,1,0.548378315646
c79,-1,0.096819258969
c78,-1,0.236874859001
c71,-1,0.403444877011
cschrimson,1,0.646125293804
c73,-1,0.565849875067
c72,-1,0.189395976429
c75,-1,0.106499220924
c74,-1,0.23131565489
c77,-1,0.126663717832
c76,-1,0.0760149005308
c93,1,0.52595862302
c92,-1,0.057607302513
c91,-1,0.0495034102779
c90,-1,0.173283310231
c97,-1,0.115081624465
c96,1,0.624430441102
c95,-1,0.173946498675
c94,-1,0.099992404061
c99,-1,0.140242225689
c98,-1,0.0481381592543
n29,-1,0.0934192406045
n28,-1,0.165587612369
n23,-1,0.241872423161
n22,-1,0.0403199468688
n21,-1,0.386889314721
n20,1,0.411143082941
n27,-1,0.21631081376
n26,-1,0.145315364658
n24,-1,0.165944714305
c68,-1,0.348891146444
c69,-1,0.185691588777
c66,-1,0.312173711581
c64,1,0.729036117095
c62,-1,0.330269140698
c63,-1,0.291592189286
c60,-1,0.142527158389
n8,-1,0.12872866914
n9,-1,0.24424399868
n102,-1,0.0514309891142
n101,-1,0.163267057532
n100,-1,0.177099274197
n1,-1,0.30024894678
n2,1,0.50831377108
n3,-1,0.16128686167
n4,-1,0.206846477801
n5,-1,0.11719729378
n6,1,0.313988626639
n7,-1,0.137981319056
