,name,actual,predicted,residual_squared,code,E,M
76,n13,0.000608776,0.000608331225585,1.97824280239e-13,1211111111,10,33
109,n64,0.000550331,0.000507923779147,1.79837238048e-09,2222222220,8,10
100,n52,0.002218783,0.00227882203132,3.60468528184e-09,0000000200,15,11
88,n40,0.005003899,0.0049384345251,4.28559747393e-09,0000100000,5,25
41,c70,0.00134245,0.00127084579356,5.1271623799e-09,2222221222,8,10
68,c47,0.000614705,0.000539534636441,5.65058355759e-09,0020000000,9,21
13,c32,0.000988609,0.00107724645296,7.85659806724e-09,1221001222,19,81
34,c58,0.001270783,0.00136381995624,8.6558752264e-09,2220222222,12,10
99,n51,0.000782853,0.000890636021667,1.16171797597e-08,0000002000,10,32
77,n14,0.000754979,0.000876788658105,1.48375928077e-08,1121111111,4,18
91,n43,0.000877026,0.000751425583016,1.57754647466e-08,0000000010,6,11
47,c76,0.000647956,0.00078397100283,1.85000809948e-08,2011212010,31,78
108,n63,0.000620288,0.000768421233674,2.19434549187e-08,2222222202,9,9
69,c1c2,0.00068554,0.000835207581298,2.24003848916e-08,1111111111,0,0
58,c84,0.001234882,0.00139005025833,2.40771883932e-08,0212020212,42,95
44,c73,0.000631841,0.000471261905754,2.57856455089e-08,2222222221,2,7
4,c16,0.001711909,0.00154708119592,2.71682049978e-08,1111121111,8,28
48,c95,0.001751059,0.00157949588662,2.94339018726e-08,2110201022,41,87
12,c31,0.000502425,0.000324966247212,3.14916089411e-08,1120022021,37,70
10,c28,0.000650184,0.000830886236237,3.26532981811e-08,1222121000,32,85
110,n65,0.000679364,0.000449655898448,5.27658119186e-08,1222222222,2,6
95,n47,0.004138397,0.00438088442472,5.88001511473e-08,0020000000,5,15
82,n32,0.000716815,0.0004702824854,6.0778280755e-08,0000211222,16,88
111,n68,0.00080698,0.000536966455877,7.29073140099e-08,2221222222,1,2
15,c37,0.000510923,0.000787523576413,7.6507878872e-08,0010000000,6,23
102,n56,0.003669837,0.00395620639337,8.20074294591e-08,2022222222,12,35
93,n45,0.002156126,0.00244659332256,8.43712654752e-08,2000000000,3,7
18,c41,0.001094473,0.00139479594236,9.01938697078e-08,0000001000,19,17
11,c30,0.000732794,0.00103876668114,9.3619281604e-08,1102011111,13,38
27,c51,0.004767779,0.005079113504,9.69291733809e-08,0000002000,18,17
72,n1,0.000628415,0.000968016954454,1.15329487469e-07,0000001000,5,40
24,c48,0.004188873,0.00455637549157,1.3505808131e-07,0002000000,12,10
35,c59,0.000809953,0.000439381549351,1.37323200036e-07,2222022222,9,10
51,c103,0.000421593,0.000800449138498,1.43531973678e-07,0120202011,24,86
89,n41,0.003778934,0.00417058432074,1.53389973736e-07,0000010000,8,17
16,c39,0.000727523,0.00115119497441,1.794979419e-07,0000100000,2,5
75,n9,0.000590248,0.000156347512098,1.88269633402e-07,1111111011,2,4
2,c14,0.003015043,0.00255060181279,2.15705616377e-07,1112111111,9,10
8,c24,0.000660853,0.00112767000665,2.17918117698e-07,1011022210,33,81
14,c35,0.000965562,0.00143629368292,2.21588317305e-07,1002202201,24,96
86,n37,0.00061896,0.000145273072707,2.24379305088e-07,0100000000,6,19
85,n36,0.001398762,0.000915726525798,2.33323269338e-07,1000000000,1,5
32,c56,0.001499074,0.00198216705894,2.33378903596e-07,2022222222,8,10
80,n23,0.000640773,0.00015277071816,2.38146227081e-07,0220021220,29,78
73,n3,0.00064941,0.00116020768661,2.60914276646e-07,0111111111,1,5
101,n53,0.004370587,0.00488611058947,2.657645713e-07,0000000020,9,9
65,c92,0.002690085,0.00320664330072,2.66832478043e-07,0221012201,36,95
74,n4,0.001286421,0.000768336406056,2.68411646482e-07,1011111111,5,19
17,c40,0.000789557,0.00131245020691,2.73417305833e-07,0000010000,7,21
22,c46,0.00290376,0.0034328853933,2.79973681835e-07,0200000000,6,10
40,c69,0.000649355,0.000118106269809,2.8222521333e-07,2222212222,11,28
37,c62,0.001267471,0.00179877846402,2.82287621323e-07,2222222022,8,10
50,c97,0.001677896,0.00221080278679,2.83989643407e-07,0012200221,56,89
19,c42,0.000843577,0.00139490896077,3.03966930966e-07,0000000100,2,6
78,n18,0.000545917,0.00111573280925,3.24690056471e-07,1111111211,18,10
81,n29,0.001108939,0.000537298072902,3.26773349533e-07,2012221110,16,56
64,c90,0.003710121,0.00313237558409,3.33789765605e-07,2202020111,33,81
106,n61,0.000582898,0.00116324084458,3.36797817255e-07,2222220222,10,32
5,c19,0.005130877,0.00454277778133,3.45860691e-07,1111111121,22,18
104,n59,0.000620488,0.00121077767352,3.48441898664e-07,2222022222,9,24
90,n42,0.003127992,0.00371926409933,3.49602695446e-07,0000000100,2,4
79,n21,0.000700845,7.94787396764e-05,3.86096029469e-07,2212111212,29,57
0,c5,0.001911552,0.0025460694925,4.02612448288e-07,1110111111,12,9
60,c86,0.002290391,0.00294097553353,4.23260235268e-07,2210020121,51,77
103,n57,0.000635594,-1.53890309326e-05,4.23778906562e-07,2202222222,8,15
53,c78,0.00145181,0.00212685099168,4.55680340448e-07,2110220102,38,83
54,c79,0.000674826,-1.49489762824e-05,4.75789517905e-07,2001210021,39,101
20,c43,0.000462631,0.00115554425859,4.8012878393e-07,0000000010,11,8
52,c77,0.000561377,0.00127937611868,5.15522734425e-07,0221021212,37,73
46,c75,0.000536484,-0.000188120249686,5.25051318663e-07,0021120211,56,93
7,c21,0.000968647,0.0017006559998,5.35837175788e-07,1112221221,24,70
36,c60,0.000563113,0.00132228603839,5.76343702218e-07,2222202222,9,25
39,c64,0.000391132,-0.000398125532536,6.22927452665e-07,2222222220,7,17
56,c81,0.000510802,0.00130438559005,6.29774914397e-07,0102221111,17,96
92,n44,0.000452635,0.00125322416722,6.4094301467e-07,0000000001,6,8
67,c36,0.003862357,0.00466814627665,6.49296358364e-07,0100000000,7,10
42,c71,0.008753537,0.00793348967987,6.72477607252e-07,2222222122,5,8
33,c57,0.002783044,0.00360712099475,6.79102893276e-07,2202222222,8,21
45,c74,0.003773919,0.00292236706107,7.25140704695e-07,2001201210,32,79
3,c15,0.004295276,0.00515342393929,7.36417885708e-07,1111211111,6,6
29,c53,0.000767452,0.00166068669674,7.9786822346e-07,0000000020,22,16
70,cheriff,0.000785195,-0.000142361884868,8.60361774666e-07,0000000000,0,0
49,c96,0.006537406,0.00560301789505,8.73081130672e-07,2102121200,29,77
28,c52,0.004844,0.00388224505432,9.2497257554e-07,0000000200,7,10
55,c80,0.000647958,0.00162382988754,9.52325940891e-07,0022211202,40,89
98,n50,0.000561941,0.00153946169592,9.55546710952e-07,0000020000,12,14
