predicted,actual
-445.676095476,-861.627458846
-592.670642666,-306.358955383
-297.335472939,-452.521384103
-350.468209873,-60.7075684865
-307.316084335,-653.742626953
-532.023391949,-1034.60406494
-427.059220298,-179.180046081
-299.13378073,-751.340049743
-448.909424807,-133.840927124
-314.578419529,-141.064875285
-645.315497463,-260.870758057
-514.914027839,-1245.72166952
-548.239175308,-741.276150703
-495.344291887,-24.5054221153
-542.984990836,-30.5168247223
-322.662103355,-61.1298156738
-483.471940611,-144.462982178
-484.382035251,-248.352626038
-416.34219797,-1789.15689087
-437.193070857,-1230.91486358
-528.370201002,-304.104777018
-483.165616313,-16.7811431885
-481.156862424,-325.085876465
-332.135630293,-345.707822527
-301.718610183,-75.4005699158
-309.609793103,-213.522613526
-297.017612801,-463.836231995
-460.410172951,-652.857509613
-332.395982196,-170.302198791
-344.169199387,-62.9350328445
-331.935289281,-38.473153201
-324.339365781,-50.4019039699
-331.648630103,-291.296533203
-437.251448965,-135.725049973
-559.165033958,-92.8698323567
-579.513696539,-469.001032511
-567.241166339,-155.045400238
-445.920217296,-960.423461915
-455.112942476,-14.8926385244
-526.848019386,-1028.38706462
-512.867478753,-1181.39525147
-574.840088208,-455.271063232
-379.991948628,-53.2494099935
-323.495739536,-345.691088104
-516.732972387,-650.35628891
-466.656103152,-120.087033081
-337.998271532,-277.581808908
-310.791154806,-268.241167936
-294.275557366,-455.200504303
-317.134291128,-585.317823137
-338.428769957,-68.7491622501
-254.796843142,-938.856254577
-587.319856759,-199.994497446
-512.075289521,-1119.38640301
