predicted,actual
26.0697666667,82.8571428571
25.9138596154,12.8
39.7081428571,24.7714285714
32.9900599567,961.125
56.6583646131,162.58
41.5491422619,68.9833333333
2675.49811667,1452.225
33.0196082251,72.35
1960.34136364,5655.88
812.334040639,54.4666666667
64.795938782,11.725
33.7384986111,73.95
20.7706423077,15.25625
134.355411905,2.75
1984.19963492,727.1
482.922458081,34.48
2019.81171732,47.15
56.0962380952,14.0
856.950228571,147.65
81.4951626984,79.85
89.8871079365,52.9333333333
64.1177412698,0.3
60.4414,31.4
818.295151515,30.1
1162.26069603,325.95
1123.35747792,50.65
2322.1678671,36.04
92.1953669552,1199.175
885.633015873,330.24
612.523658874,56.05
142.919782413,2207.85454545
63.9293637807,74.4857142857
54.4498416875,50.02
917.998004762,5125.875
21.4351041667,8.4
17.353638782,9.16666666667
135.391167949,19.72
167.523214286,52.12
57.5083904762,0.233333333333
108.6889125,174.083333333
24.0184588217,68.32
42.954176282,33.66
1853.07220476,571.3
111.537023106,18.83
969.578976136,16.575
632.438660739,1778.8
39.6606103896,30.3571428571
40.2646880952,22.1363636364
39.5880844156,21.55
136.254098701,27.9285714286
70.72016665,83.2888888889
119.827710606,57.3
60.8241142857,113.4
74.5628458333,128.238461538
