name,bin_mKate,pi
cschrimson,1,0.886854665872
c1c2,1,0.762811131077
cheriff,-1,0.0791213981781
c1,1,0.475654904598
c2,1,0.61947953929
c3,1,0.838468504395
c4,1,0.889079072313
c5,1,0.848651421584
c6,1,0.878517115181
c7,1,0.78980745307
c8,1,0.758254960762
c11,1,0.786790861067
c13,1,0.881468484562
c14,1,0.825682456248
c15,1,0.895987938488
c16,1,0.897307290806
c19,1,0.661355279084
c20,1,0.821889998425
c21,-1,0.576057699559
c24,-1,0.493906377065
c25,-1,0.550693346439
c28,-1,0.6101481164
c29,-1,0.382166071684
c30,1,0.855301760563
c31,-1,0.477218156555
c32,1,0.417246144385
c33,-1,0.39575695661
c34,-1,0.400812484327
c35,1,0.545284450907
c36,-1,0.0995020328497
c37,-1,0.0775494589575
c39,-1,0.0799210999622
c40,-1,0.134165226644
c41,-1,0.128240176606
c42,-1,0.138514367433
c43,-1,0.111848351665
c44,-1,0.125310890005
c46,-1,0.0859968203413
c47,-1,0.0937627484043
c48,-1,0.121334790188
c49,-1,0.12385831773
c50,-1,0.241235193107
c51,-1,0.0943707216124
c52,-1,0.0696904707392
c53,-1,0.051869320558
c54,-1,0.0965542643802
c55,-1,0.315854649922
c56,1,0.726305458778
c57,1,0.742181875942
c58,1,0.71733995656
c59,1,0.665064281557
c60,-1,0.230943210004
c62,1,0.734784344407
c63,1,0.833812771135
c64,1,0.700848672404
c66,1,0.611217974039
c69,-1,0.339144307262
c70,1,0.81658106946
c71,1,0.845994149573
c72,1,0.866230124287
c73,-1,0.740222836827
c74,-1,0.479738012303
c75,-1,0.316047400054
c76,1,0.565415829762
c77,1,0.561648834834
c78,1,0.822855364115
c79,-1,0.370520558946
c80,-1,0.248659356295
c81,1,0.800603663216
c83,-1,0.156072553618
c84,-1,0.260758954551
c85,1,0.749256048012
c86,1,0.650475312141
c87,1,0.467474947823
c88,-1,0.0829739881427
c89,-1,0.199886532846
c90,1,0.860028203858
c92,-1,0.191406588865
c93,1,0.79979093298
c95,-1,0.286532886627
c96,1,0.784635032514
c97,-1,0.063181230867
c103,1,0.349668889011
n1,1,0.514760290652
n2,1,0.666696602966
n3,-1,0.737138496724
n4,1,0.82472247347
n5,1,0.873010435652
n6,1,0.885943238576
n7,1,0.749974452427
n8,1,0.793113298734
n9,1,0.86018806549
n10,1,0.851410292797
n11,1,0.825875976862
n12,-1,0.711331486929
n13,1,0.665003330264
n14,1,0.902173982188
n15,1,0.893093493797
n16,-1,0.720172011119
n17,1,0.792916173115
n18,1,0.909701229596
n19,1,0.89502370857
n20,1,0.884338269523
n21,1,0.681262431985
n22,1,0.775480668392
n23,-1,0.378538648247
n24,1,0.707363641145
n28,1,0.805506446432
n29,-1,0.329996976219
n32,1,0.810276817017
n34,1,0.756569736246
n35,-1,0.29945137241
n36,-1,0.14115647964
n37,-1,0.106120896788
n38,-1,0.0809995506731
n40,-1,0.156427150199
n41,-1,0.127829708503
n42,-1,0.0926980214942
n43,-1,0.105971232553
n44,-1,0.113312909021
n45,-1,0.0801824956685
n46,-1,0.0431535379797
n47,-1,0.120455696728
n48,-1,0.0903075126528
n49,-1,0.0874625119684
n50,-1,0.0892299016758
n51,1,0.434136095123
n52,-1,0.145786648453
n53,1,0.177941656013
n56,1,0.866797106898
n57,1,0.665385547898
n59,1,0.71459998373
n60,1,0.692887661685
n61,-1,0.327318674164
n62,-1,0.491241557614
n63,-1,0.574988334929
n64,-1,0.454771150387
n65,1,0.835278121322
n66,1,0.857159403326
n67,-1,0.548150627376
n68,1,0.726936171562
n69,1,0.794434589533
n70,1,0.813875381557
n71,1,0.548587019994
n72,1,0.635713611187
n73,-1,0.571906934503
n75,-1,0.156453153646
n76,-1,0.643638645682
n77,-1,0.0952316213456
n78,-1,0.079289129376
n79,1,0.403258536496
n80,-1,0.240056958094
n82,1,0.678634765127
n84,1,0.740866345367
n86,-1,0.114415203194
n87,-1,0.296108486639
n88,-1,0.415466695007
n89,-1,0.214013927122
n93,-1,0.148812057523
n94,1,0.806067680833
n95,-1,0.305336736497
n96,-1,0.434325492989
n97,-1,0.107163211351
n98,-1,0.111173105683
n99,-1,0.106765879876
n100,-1,0.314022039386
n101,1,0.623768710448
