name,bin_GFP,pi
cschrimson,1,0.844034207591
c1c2,1,0.880102765238
cheriff,1,0.744390419817
c1,1,0.770368597305
c2,1,0.720401291789
c3,1,0.791705531683
c4,-1,0.364211697982
c5,1,0.720292853064
c6,1,0.798983867927
c7,1,0.817857127547
c8,-1,0.29952192478
c11,1,0.807513315908
c13,-1,0.432453003132
c14,-1,0.45316440249
c15,-1,0.51912431862
c16,1,0.802411072904
c19,-1,0.331682419793
c20,1,0.713999554646
c21,-1,0.348178040968
c24,-1,0.295603354894
c25,-1,0.254337288871
c28,1,0.717705987184
c29,-1,0.175602737749
c30,-1,0.188925628005
c31,-1,0.244520129108
c32,1,0.593358860878
c33,-1,0.229790412395
c34,-1,0.28938832221
c35,-1,0.217593840948
c36,-1,0.33350196905
c37,-1,0.411397957551
c39,1,0.751964206529
c40,1,0.663988517757
c41,1,0.715495792043
c42,1,0.78072526125
c43,-1,0.335671248913
c44,1,0.625654802796
c46,-1,0.355800797392
c47,-1,0.277816688169
c48,1,0.72073848665
c49,1,0.7120504001
c50,1,0.699954225492
c51,-1,0.295082696431
c52,1,0.754407778636
c53,-1,0.227023282329
c54,-1,0.420820617974
c55,-1,0.355100450052
c56,1,0.752610523126
c57,1,0.736513482793
c58,1,0.752275544931
c59,-1,0.423791239199
c60,-1,0.281939829328
c62,1,0.811312190443
c63,-1,0.341406226395
c64,1,0.854257046711
c66,1,0.649936401667
c69,-1,0.2717294097
c70,1,0.86564173152
c71,1,0.818131702396
c72,-1,0.241974643239
c73,1,0.858633663768
c74,1,0.667812544714
c75,-1,0.203874979378
c76,-1,0.245331192942
c77,-1,0.219143488326
c78,1,0.67704751619
c79,-1,0.203423063574
c80,-1,0.193205374696
c81,-1,0.227969902053
c83,-1,0.222000185481
c84,-1,0.182028575945
c85,-1,0.147336746833
c86,-1,0.289899213996
c87,-1,0.216185543287
c88,-1,0.149404182202
c89,-1,0.246957498728
c90,-1,0.22272619422
c92,1,0.536930016169
c93,1,0.712467667281
c95,-1,0.244265028486
c96,1,0.71377724087
c97,-1,0.192191265368
c103,-1,0.138919736501
n1,1,0.768160361023
n2,1,0.70768499719
n3,1,0.750686569712
n4,1,0.732886515274
n5,1,0.546154281886
n6,1,0.813060008995
n7,1,0.767966434099
n8,-1,0.34292491806
n9,1,0.847548310103
n10,1,0.818871945596
n11,1,0.778029597994
n12,-1,0.575985332212
n13,1,0.700576559828
n14,1,0.606241146205
n15,1,0.79827574832
n16,-1,0.438608377264
n17,1,0.614958958914
n18,1,0.782701000169
n19,1,0.782187423024
n20,1,0.820130051822
n21,1,0.733872807421
n22,-1,0.189572872934
n23,-1,0.317145302545
n24,1,0.669734966537
n28,-1,0.247051314339
n29,-1,0.181699715214
n32,-1,0.269034803205
n34,-1,0.294810030358
n35,-1,0.245310040628
n36,1,0.786389497356
n37,-1,0.160575190565
n38,1,0.580084260662
n40,1,0.642470528925
n41,1,0.677464676612
n42,1,0.761447070279
n43,1,0.716494963702
n44,-1,0.527449273581
n45,1,0.763674999946
n46,-1,0.161282351943
n47,-1,0.3513927334
n48,1,0.770655460824
n49,-1,0.284204047513
n50,-1,0.357943365175
n51,1,0.760288074205
n52,1,0.772021988736
n53,-1,0.508104102578
n56,-1,0.22703796987
n57,1,0.727809520668
n59,1,0.801430152966
n60,1,0.808746767618
n61,-1,0.324593667186
n62,-1,0.329880517214
n63,1,0.796811500611
n64,1,0.687389195767
n65,1,0.85629429873
n66,-1,0.208594282488
n67,-1,0.61185425171
n68,1,0.83959603765
n69,1,0.867103889426
n70,1,0.814438632568
n71,-1,0.312860028621
n72,1,0.757366694857
n73,1,0.783300809827
n75,-1,0.307730432716
n76,-1,0.291384511185
n77,1,0.55435234378
n78,-1,0.276791326697
n79,1,0.593723239382
n80,-1,0.272512111541
n82,1,0.670149301738
n84,-1,0.249992624484
n86,-1,0.171433777266
n87,1,0.662965650714
n88,-1,0.195425762047
n89,-1,0.198281221698
n93,-1,0.231369102196
n94,1,0.769740633451
n95,-1,0.129444689535
n96,-1,0.148082457446
n97,-1,0.233893796334
n98,1,0.540216406663
n99,-1,0.234226204649
n100,-1,0.216647271293
n101,-1,0.178723549877
