name,bin_intensity_ratio,pi
cschrimson,1.0,0.602204811076
c1c2,1.0,0.832832944689
cheriff,1.0,0.902588046908
c1,1.0,0.829625378957
c2,1.0,0.720770233607
c3,1.0,0.732755505755
c4,-1.0,0.290426525516
c5,1.0,0.594368247356
c6,1.0,0.667420715503
c7,1.0,0.642012051181
c8,-1.0,0.233388638507
c11,-1.0,0.45650296631
c13,-1.0,0.281895515377
c14,-1.0,0.389286637143
c15,-1.0,0.354141670542
c16,-1.0,0.374753969515
c19,-1.0,0.32181185074
c20,-1.0,0.296415401032
c28,1.0,0.713555834024
c29,-1.0,0.198396363255
c30,-1.0,0.209216547717
c32,-1.0,0.278483089622
c35,-1.0,0.236280427329
c36,1.0,0.677514639733
c39,1.0,0.860792713846
c40,1.0,0.786371042569
c41,1.0,0.741093328975
c42,1.0,0.842572222236
c44,1.0,0.793373078808
c46,-1.0,0.64509635072
c48,1.0,0.821396206274
c49,1.0,0.771491490397
c50,1.0,0.776371370076
c51,-1.0,0.350754444732
c52,1.0,0.835731685805
c53,-1.0,0.396297759598
c54,1.0,0.701927043593
c55,-1.0,0.357893340333
c56,1.0,0.748605667387
c57,-1.0,0.3414447101
c58,1.0,0.697291634134
c59,-1.0,0.479040846689
c62,-1.0,0.585343264167
c63,-1.0,0.369110869321
c64,1.0,0.884028909321
c66,-1.0,0.383589307843
c69,-1.0,0.283344682128
c70,1.0,0.838730407407
c71,1.0,0.64046070759
c72,-1.0,0.231282443642
c73,1.0,0.855282544744
c74,1.0,0.647294685096
c75,-1.0,0.224753517142
c76,-1.0,0.23526518344
c77,-1.0,0.183934678853
c78,-1.0,0.232190888798
c79,-1.0,0.213172469457
c80,-1.0,0.204370782048
c81,-1.0,0.160789588694
c83,-1.0,0.228816734313
c84,-1.0,0.165467304893
c85,-1.0,0.100453123067
c86,-1.0,0.251371776595
c87,-1.0,0.215940639563
c90,-1.0,0.175479821675
c92,1.0,0.507516498215
c93,1.0,0.628740121493
c95,-1.0,0.230675601501
c96,1.0,0.688555591687
c103,-1.0,0.124354094783
n1,1.0,0.814840447184
n2,1.0,0.696871936363
n3,1.0,0.662429722595
n4,1.0,0.744056768888
n5,1.0,0.367764562333
n6,1.0,0.60272517073
n7,1.0,0.601195749524
n8,-1.0,0.218240255772
n9,-1.0,0.535064974315
n10,1.0,0.614282553299
n11,1.0,0.663368057762
n13,1.0,0.758923083326
n14,-1.0,0.217983015114
n15,-1.0,0.489959371693
n16,-1.0,0.200238260861
n17,-1.0,0.245360109987
n18,1.0,0.652769874109
n19,-1.0,0.322472155016
n20,1.0,0.637921686263
n21,1.0,0.857080727358
n22,-1.0,0.0334773815705
n23,1.0,0.732477499046
n24,-1.0,0.268247800407
n28,-1.0,0.237174503486
n29,-1.0,0.174015424133
n32,-1.0,0.268520321024
n34,-1.0,0.297905119714
n35,-1.0,0.230808325957
n36,1.0,0.859185972839
n37,-1.0,0.34948221383
n38,1.0,0.834745998349
n40,1.0,0.710807943856
n41,1.0,0.75014251855
n42,1.0,0.84658189406
n43,1.0,0.835638908953
n45,1.0,0.834820551058
n46,1.0,0.601608858501
n47,-1.0,0.514159432743
n48,1.0,0.870293324891
n49,-1.0,0.365601249995
n50,-1.0,0.455676167153
n51,1.0,0.807415384728
n52,1.0,0.845577479386
n53,1.0,0.816991212729
n56,-1.0,0.154978318744
n57,1.0,0.648341318824
n59,1.0,0.87079582399
n60,1.0,0.766810164626
n61,-1.0,0.315997745733
n63,1.0,0.793096028278
n64,1.0,0.69413917746
n65,1.0,0.761235922406
n66,-1.0,0.0804025258343
n68,1.0,0.814374632269
n69,1.0,0.863186621203
n70,1.0,0.777090982789
n71,-1.0,0.300730313964
n72,1.0,0.752221431347
n73,1.0,0.751952730693
n76,-1.0,0.258315202023
n77,1.0,0.644899195477
n79,-1.0,0.252909832949
n80,-1.0,0.276982360266
n82,1.0,0.675874994767
n84,-1.0,0.212291177224
n86,-1.0,0.174248938743
n87,1.0,0.758608488538
n88,-1.0,0.204216171398
n89,-1.0,0.211672365099
n93,-1.0,0.379388952232
n94,1.0,0.76762292906
n95,-1.0,0.0765809227787
n96,-1.0,0.0859682897673
n97,1.0,0.792706395635
n98,1.0,0.564336351412
n99,-1.0,0.269157512781
n100,-1.0,0.217716274762
n101,-1.0,0.188374388245
