name,bin_sum_ratio,pi
cschrimson,1.0,0.757192582082
c1c2,1.0,0.902558277423
cheriff,1.0,0.894850212233
c1,1.0,0.820506283725
c2,1.0,0.765507610361
c3,1.0,0.830896192436
c4,-1.0,0.28465126767
c5,1.0,0.667431197273
c6,1.0,0.774322684423
c7,1.0,0.772356317605
c8,-1.0,0.218439055905
c11,1.0,0.843767061066
c13,-1.0,0.257907591749
c14,-1.0,0.369785568756
c15,-1.0,0.368668345001
c16,1.0,0.853044914907
c19,-1.0,0.287817166015
c20,1.0,0.641040532342
c28,1.0,0.742986639189
c29,-1.0,0.168242824173
c30,-1.0,0.160663501678
c32,-1.0,0.223202958436
c35,-1.0,0.211027457094
c36,-1.0,0.287062266393
c39,1.0,0.850009367341
c40,1.0,0.787339137425
c41,1.0,0.777345853916
c42,1.0,0.862578423113
c44,1.0,0.787970272059
c46,-1.0,0.339066258284
c48,1.0,0.790815880427
c49,1.0,0.745445164218
c50,1.0,0.731270041989
c51,-1.0,0.264480874054
c52,1.0,0.840026900775
c53,-1.0,0.213570654359
c54,1.0,0.685893586313
c55,-1.0,0.26817124881
c56,1.0,0.804655045902
c57,-1.0,0.371200378209
c58,1.0,0.72743882175
c59,-1.0,0.3969662225
c62,-1.0,0.442876906634
c63,-1.0,0.32688614013
c64,1.0,0.901479041873
c66,1.0,0.759779342145
c69,-1.0,0.233707689887
c70,1.0,0.881789933282
c71,1.0,0.686500355075
c72,-1.0,0.211948806821
c73,1.0,0.88354080563
c74,1.0,0.732493480031
c75,-1.0,0.229230986255
c76,-1.0,0.221143731429
c77,-1.0,0.210963601787
c78,-1.0,0.262296820432
c79,-1.0,0.182174552646
c80,-1.0,0.200995609601
c81,-1.0,0.179116966604
c83,-1.0,0.205073845119
c84,-1.0,0.201527799986
c85,-1.0,0.0898196611837
c86,-1.0,0.253649535484
c87,-1.0,0.20293327417
c90,-1.0,0.169317602401
c92,1.0,0.546300288085
c93,1.0,0.736581831115
c95,-1.0,0.200914984253
c96,1.0,0.745711251785
c103,-1.0,0.0654077384204
n1,1.0,0.817581070937
n2,1.0,0.743626880987
n3,-1.0,0.456182306796
n4,1.0,0.790580443604
n5,1.0,0.47725545616
n6,1.0,0.750593031502
n7,1.0,0.813492918075
n8,-1.0,0.232993670794
n9,-1.0,0.513754394439
n10,1.0,0.840549911273
n11,1.0,0.748802166705
n13,1.0,0.749069985645
n14,-1.0,0.214677723702
n15,1.0,0.709576041122
n16,-1.0,0.32518124008
n17,-1.0,0.230363164976
n18,1.0,0.773584671576
n19,1.0,0.739625475698
n20,1.0,0.807926392078
n21,1.0,0.882675574953
n22,-1.0,0.0625889346617
n23,-1.0,0.256619019912
n24,1.0,0.765393922127
n28,-1.0,0.244315154145
n29,-1.0,0.180435443755
n32,-1.0,0.254079236865
n34,-1.0,0.302516194159
n35,-1.0,0.15069610278
n36,1.0,0.884388844326
n37,-1.0,0.18383346431
n38,1.0,0.789114173204
n40,1.0,0.71972985428
n41,1.0,0.741418037829
n42,1.0,0.840787993536
n43,1.0,0.76816100859
n45,1.0,0.854888583026
n46,-1.0,0.147103635833
n47,-1.0,0.36683298688
n48,1.0,0.86551057447
n49,-1.0,0.281198835527
n50,-1.0,0.314274383313
n51,1.0,0.799241883019
n52,1.0,0.857379205807
n53,-1.0,0.423571238139
n56,-1.0,0.146978337045
n57,1.0,0.720486130348
n59,1.0,0.838928807141
n60,1.0,0.801768002354
n61,-1.0,0.20211964954
n63,1.0,0.848560259187
n64,1.0,0.699050745895
n65,1.0,0.813701596656
n66,-1.0,0.119270432548
n68,1.0,0.852090338155
n69,1.0,0.88291668672
n70,1.0,0.826192806717
n71,-1.0,0.251591108739
n72,1.0,0.797578164987
n73,1.0,0.788714690489
n76,-1.0,0.271559477793
n77,-1.0,0.221285067195
n79,-1.0,0.154275401846
n80,-1.0,0.184218246875
n82,1.0,0.766676957129
n84,-1.0,0.209170746871
n86,-1.0,0.0975679366985
n87,1.0,0.704123873012
n88,-1.0,0.197164715812
n89,-1.0,0.173467236778
n93,-1.0,0.270068191019
n94,1.0,0.823697951133
n95,-1.0,0.0439117364243
n96,-1.0,0.104760473577
n97,1.0,0.735912820513
n98,-1.0,0.15022704889
n99,-1.0,0.253105051188
n100,-1.0,0.166858162973
n101,-1.0,0.189767395407
