name,bin_mKate_2,pi
cschrimson,1,0.830128594139
c1c2,1,0.71663657788
cheriff,-1,0.0619490785034
c1,-1,0.234120989146
c2,1,0.574216140923
c3,1,0.711911450764
c4,1,0.825261003992
c5,1,0.764897711358
c6,1,0.834432383161
c7,1,0.672002252318
c8,1,0.687025179253
c11,1,0.760655818289
c13,1,0.812993219257
c14,1,0.756869318058
c15,1,0.795338276044
c16,1,0.871320696847
c19,1,0.686554757337
c20,1,0.803095664153
c21,-1,0.627393275135
c24,-1,0.396053634133
c25,-1,0.636411606205
c28,-1,0.591168233165
c29,-1,0.258198850594
c30,1,0.785780257548
c31,-1,0.434141156132
c32,1,0.447368232189
c33,-1,0.315860151549
c34,-1,0.372323532671
c35,-1,0.156708414664
c36,-1,0.0898384332629
c37,-1,0.0633299204174
c39,-1,0.0574711437726
c40,-1,0.124709285197
c41,-1,0.0999931803541
c42,-1,0.119591026075
c43,-1,0.0747293651711
c44,-1,0.0743025335382
c46,-1,0.0778715764508
c47,-1,0.0652097944286
c48,-1,0.0954450772582
c49,-1,0.0625950030548
c50,-1,0.240899680718
c51,-1,0.0429323706402
c52,-1,0.0630996478204
c53,-1,0.0542844475525
c54,-1,0.0706767033685
c55,-1,0.312367412624
c56,1,0.633220506851
c57,1,0.687573919705
c58,1,0.654956158152
c59,1,0.691991262871
c60,-1,0.187023617632
c62,1,0.666452738156
c63,1,0.640739311207
c64,1,0.665858024556
c66,1,0.59480171952
c69,-1,0.336341172654
c70,1,0.846494547775
c71,1,0.807443876104
c72,-1,0.628702016947
c73,-1,0.667954276861
c74,-1,0.342768807325
c75,-1,0.273636196784
c76,-1,0.254368064185
c77,1,0.547542095893
c78,1,0.773594119641
c79,-1,0.334041380465
c80,-1,0.191901013455
c81,1,0.693763658025
c83,-1,0.162789588731
c84,-1,0.297444968303
c85,1,0.646770693831
c86,1,0.696204346061
c87,1,0.534488339695
c88,-1,0.148491019546
c89,-1,0.119341937618
c90,1,0.812275428304
c92,-1,0.146998991043
c93,1,0.698811894648
c95,-1,0.2809111105
c96,1,0.783001738476
c97,-1,0.0563571994831
c103,-1,0.0738055520241
n1,1,0.307490176991
n2,1,0.619491170564
n3,-1,0.661160602654
n4,-1,0.650986247942
n5,1,0.817682614271
n6,1,0.829374054318
n7,1,0.753791596684
n8,1,0.694681862426
n9,1,0.770832261756
n10,1,0.800670457923
n11,1,0.749351153433
n12,-1,0.676848086247
n13,1,0.638809709681
n14,1,0.849505820724
n15,1,0.837026780675
n16,-1,0.696273307788
n17,1,0.661895390639
n18,-1,0.748644844792
n19,1,0.880010482008
n20,1,0.856933637081
n21,1,0.608714799464
n22,1,0.704384932283
n23,-1,0.360622897504
n24,1,0.668746712146
n28,-1,0.519510103091
n29,-1,0.196379856341
n32,1,0.662112969011
n34,1,0.629797291948
n35,-1,0.311259975803
n36,-1,0.11567613001
n37,-1,0.0911619600647
n38,-1,0.0620602095624
n40,-1,0.0768599461798
n41,-1,0.104370240477
n42,-1,0.0816446256734
n43,-1,0.0797544443303
n44,-1,0.0927069065729
n45,-1,0.0689369128663
n46,-1,0.0480200561031
n47,-1,0.0806693429618
n48,-1,0.0678683944568
n49,-1,0.0502382954814
n50,-1,0.0528749185483
n51,1,0.316821218838
n52,-1,0.0903197154726
n53,1,0.14607248947
n56,-1,0.644082165472
n57,1,0.638412356637
n59,1,0.726922538852
n60,1,0.698118413411
n61,-1,0.289832112199
n62,-1,0.510588764468
n63,-1,0.512250371132
n64,-1,0.419454795378
n65,1,0.799059504963
n66,1,0.715270501005
n67,-1,0.558972919338
n68,1,0.689138510299
n69,1,0.750310437817
n70,1,0.811374049258
n71,1,0.585940105908
n72,1,0.567431700837
n73,-1,0.536218671248
n75,-1,0.112301235151
n76,-1,0.698792301437
n77,-1,0.0847738485334
n78,-1,0.0842261514333
n79,1,0.389110237965
n80,-1,0.239287640091
n82,1,0.610024242175
n84,1,0.511777830183
n86,-1,0.131055998339
n87,-1,0.329709830395
n88,-1,0.385426464829
n89,-1,0.256815084624
n93,-1,0.152801294021
n94,1,0.713592048739
n95,-1,0.21821756661
n96,-1,0.410725301155
n97,-1,0.114536300373
n98,-1,0.152936059358
n99,-1,0.0834884257609
n100,-1,0.393156529744
n101,1,0.559582141099
