code,n_mutations
n0000000000,0
c0000000000,0
n0000000001,8
c0000000001,20
n0000000002,10
c0000000002,17
n0000000010,11
c0000000010,8
n0000000011,19
c0000000011,28
n0000000012,21
c0000000012,25
n0000000020,9
c0000000020,16
n0000000021,17
c0000000021,36
n0000000022,19
c0000000022,33
n0000000100,4
c0000000100,6
n0000000101,12
c0000000101,26
n0000000102,14
c0000000102,23
n0000000110,15
c0000000110,14
n0000000111,23
c0000000111,34
n0000000112,25
c0000000112,31
n0000000120,13
c0000000120,22
n0000000121,21
c0000000121,42
n0000000122,23
c0000000122,39
n0000000200,11
c0000000200,10
n0000000201,19
c0000000201,30
n0000000202,21
c0000000202,27
n0000000210,22
c0000000210,18
n0000000211,30
c0000000211,38
n0000000212,32
c0000000212,35
n0000000220,20
c0000000220,26
n0000000221,28
c0000000221,46
n0000000222,30
c0000000222,43
n0000001000,40
c0000001000,17
n0000001001,48
c0000001001,37
n0000001002,50
c0000001002,34
n0000001010,51
c0000001010,25
n0000001011,59
c0000001011,45
n0000001012,61
c0000001012,42
n0000001020,49
c0000001020,33
n0000001021,57
c0000001021,53
n0000001022,59
c0000001022,50
n0000001100,44
c0000001100,23
n0000001101,52
c0000001101,43
n0000001102,54
c0000001102,40
n0000001110,55
c0000001110,31
n0000001111,63
c0000001111,51
n0000001112,65
c0000001112,48
n0000001120,53
c0000001120,39
n0000001121,61
c0000001121,59
n0000001122,63
c0000001122,56
n0000001200,51
c0000001200,27
n0000001201,59
c0000001201,47
n0000001202,61
c0000001202,44
n0000001210,62
c0000001210,35
n0000001211,70
c0000001211,55
n0000001212,72
c0000001212,52
n0000001220,60
c0000001220,43
n0000001221,68
c0000001221,63
n0000001222,70
c0000001222,60
n0000002000,32
c0000002000,17
n0000002001,40
c0000002001,37
n0000002002,42
c0000002002,34
n0000002010,43
c0000002010,25
n0000002011,51
c0000002011,45
n0000002012,53
c0000002012,42
n0000002020,41
c0000002020,33
n0000002021,49
c0000002021,53
n0000002022,51
c0000002022,50
n0000002100,36
c0000002100,23
n0000002101,44
c0000002101,43
n0000002102,46
c0000002102,40
n0000002110,47
c0000002110,31
n0000002111,55
