mKate_mean,mKate_std,sum_ratio,sum_ratio_std,Label,E,m,Chimera
0.001911552,0.000756503,1.189340936,0.039077073,c5,12,9,2221222222
,,,,c13,8,25,2232222222
0.004023394,0.00072438,0.342813908,0.152348007,c14,9,10,2223222222
0.003015043,0.000770658,0.339468622,0.040956416,c15,6,6,2222322222
0.004295276,0.000796934,0.67571596,0.002219946,c16,8,28,2222232222
0.001711909,0.000559689,0.715043288,0.399971146,c19,22,18,2222222232
0.005130877,0.001059103,0.538019423,0.086331327,c20,2,7,2222222223
0.000393187,0,1.022336904,0,c21,24,70,2223332332
,,,,c24,33,81,2122133321
,,,,c25,40,88,2312231233
0.000968647,0,2.011778328,0,c28,32,85,2333232111
0.000660853,0,1.01102426,0,c30,13,38,2213122222
,,,,c31,37,70,2231133132
0.005301712,0,0.289824306,0,c32,19,81,2332112333
0.000650184,0,0.887837798,0,c35,24,96,2113313312
,,,,c37,6,23,1121111111
0.000732794,0,2.16785742,0,c39,2,5,1111211111
0.000502425,0,1.190462208,0,c40,7,21,1111121111
0.000988609,0,1.45872705,0,c41,19,17,1111112111
0.000965562,1.98E-06,2.290323981,0.143086982,c42,2,6,1111111211
,,,,c43,11,8,1111111121
0.000510923,0,1.359588288,0,c44,9,20,1111111112
0.000727523,0,1.041948017,0,c46,6,10,1311111111
,,,,c47,9,21,1131111111
0.000789557,0.000141196,1.726616327,0.36036656,c48,12,10,1113111111
0.001094473,9.54E-05,1.973742705,0.005458743,c49,8,10,1111311111
,,,,c50,12,25,1111131111
,,,,c51,18,17,1111113111
0.000843577,1.19E-05,2.173648087,0.196505236,c52,7,10,1111111311
,,,,c53,22,16,1111111131
0.000462631,2.97E-06,1.612331177,0.374129273,c54,7,17,1111111113
0.000857175,9.12E-06,1.138592314,0.462043573,c55,10,25,1333333333
0.00290376,0.000991788,2.179751535,0.22334532,c56,8,10,3133333333
0.00911494,0.000612079,0.336352254,0.053190652,c57,8,21,3313333333
0.004188873,0.000130019,2.519609363,0.039483943,c58,12,10,3331333333
0.001137885,8.88E-05,0.792411243,0.344605392,c59,9,10,3333133333
,,,,c60,9,25,3333313333
0.009828811,0.000635313,0.331619114,0.04623336,c62,8,10,3333333133
0.004767779,4.01E-05,0.190307931,0.072000449,c63,20,16,3333333313
0.004844,0.000765236,2.225106766,0.023095388,c64,7,17,3333333331
0.000767452,0,0.83047301,0,c69,11,28,3333323333
0.002496848,0.000258235,2.389460798,0.001321157,c70,8,10,3333332333
0.003633391,0.000230422,1.182654652,0.04753524,c71,5,8,3333333233
0.001499074,0.000263506,0.560046669,0.168472537,c72,19,18,3333333323
0.002783044,0,2.425979929,0,c73,2,7,3333333332
0.001270783,0.000275053,1.160926364,0.178688557,c74,32,79,3112312321
0.000809953,0.000200349,0.711779432,0.156063739,c75,56,93,1132231322
0.000563113,5.38E-05,0.801821563,0.156152471,c76,31,78,3122323121
0.001267471,0.000174012,0.26388425,0.157391214,c95,41,87,3221312133
0.007370581,0.001910679,0.63783978,0.042188765,c96,29,77,3213232311
0.000391132,9.66E-06,1.326766648,1.245579221,c97,56,89,1123311332
0.000649355,0,1.370025237,0,c103,24,86,1231313122
0.00134245,0.000244776,0.398312077,0.213557137,c77,37,73,1332132323
0.008753537,0.000212141,0.199719533,0.019248788,c78,38,83,3221331213
0.000719803,7.80E-05,0.576183174,0.239612664,c79,39,101,3112321132
0.000631841,4.10E-05,0.974232638,0.000907653,c80,40,89,1133322313
0.003773919,0.000458731,0.24686908,0.055438452,c81,17,96,1213332222
0.000536484,9.64E-05,1.198734148,0.776966387,c83,32,95,1131322331
0.000647956,6.61E-05,0.952959895,0.44126316,c84,42,95,1323131323
0.001751059,0.00030706,0.565587892,0.192589349,c85,40,88,3211321223
0.006537406,0.000912957,0.750516937,0.668353193,c86,51,77,3321131232
0.001677896,0.000173238,0.792343591,0.502548239,c87,40,99,3211222331
0.000421593,0,0.185706876,0,c88,47,82,1222221333
0.000561377,0.000125036,0.731050171,0.230318605,c89,36,75,1322313211
0.00145181,0.000294385,0.463557764,0.110185842,c90,33,81,3313131222
0.000674826,0,2.359078465,0,c92,36,95,1332123312
0.000647958,7.92E-05,0.526841739,0.333579293,c4,5,23,2212222222
0.000510802,1.45E-06,1.643789839,0.754326472,c36,7,10,1211111111
,,,,c47,9,21,1131111111
0.008069334,0.001610724,0.556747465,0.098245485,C1C2,0,0,2222222222
0.001234882,0.000198192,3.11407257,0.644943762,CheRiff,0,0,1111111111
0.008387107,0.001060034,1.731298352,0.122350166,CsChrim,0,0,3333333333
