mKate_mean,mKate_std,sum_ratio,sum_ratio_std,Label,E,m,Chimera
0.002290391,0.000339557,1.63511162,0.388157765,n1,5,40,1111112111
0.000454559,0,0.493015081,0,n3,1,5,1222222222
0.000748934,0.000200651,1.260142189,0.444996395,n4,5,19,2122222222
0.004872187,0.0005644,0.225390947,0.059222127,n9,2,4,2222222122
0.003710121,0.000382987,1.866485482,0.173536456,n13,10,33,2322222222
0.002690085,0.000287102,0.648696522,0.354424266,n14,4,18,2232222222
0.000551137,5.46E-05,1.764537537,1.400216254,n18,18,10,2222222322
0.003862357,0.000153268,0.957845789,0.064679372,n21,29,57,3323222323
,,,,n23,29,78,1331132331
0.000614705,0.000131813,2.002832154,0.844160229,n29,16,56,3123332221
0.00068554,0.000157583,1.679311565,0.362204574,n32,16,88,1111322333
0.000785195,0.00028369,2.191939427,1.299436175,n34,20,70,3113222231
,,,,n35,29,72,3331312131
0.001281594,7.46E-06,1.730530431,0.480172078,n36,1,5,2111111111
0.000628415,0.000115109,1.512234947,1.092143358,n37,6,19,1211111111
0.00064941,0,2.839397764,0,n38,4,19,1121111111
0.001286421,3.07E-05,2.507774503,0.475521465,n40,5,25,1111211111
0.000590248,3.38E-05,2.991502078,1.375310185,n41,8,17,1111121111
0.000608776,6.95E-05,3.01501915,1.289460137,n42,2,4,1111111211
0.000754979,2.27E-06,2.510080794,0.562170297,n43,6,11,1111111121
,,,,n44,6,8,1111111112
0.000545917,0,1.861864076,0,n45,3,7,3111111111
0.000700845,0.00018832,1.08200146,0.001582316,n46,21,35,1311111111
0.000640773,0.000128214,0.887233521,0.620051254,n47,5,15,1131111111
0.001108939,0.00015338,1.476638748,0.955608137,n48,1,4,1113111111
0.000716815,7.29E-05,0.302222345,0.175952796,n49,8,24,1111311111
0.000586289,0.000125607,0.769347732,0.253210968,n50,12,14,1111131111
0.00820276,0,1.148371722,0,n51,10,32,1111113111
0.001398762,0.000403262,1.321237825,0.149481919,n52,15,11,1111111311
0.00061896,7.96E-05,0.600270055,0.004627147,n53,9,9,1111111131
0.001142051,0.000152042,0.663423101,0.082336358,n56,12,35,3133333333
0.005003899,0.000226696,1.536359525,0.825723872,n57,8,15,3313333333
0.003778934,3.86E-05,2.616472489,0.021748791,n59,9,24,3333133333
0.003127992,0.000115869,1.158021065,0.040121338,n60,17,14,3333313333
0.000877026,0.00013174,0.668166156,0.465000848,n61,10,32,3333331333
0.000452635,0,0.126691444,0,n62,14,11,3333333133
,,,,n63,9,9,3333333313
0.002156126,0.000246125,1.197327474,0.134296309,n64,8,10,3333333331
0.003077038,0.00262829,2.106382754,0.343236199,n65,2,6,2333333333
0.004138397,0.000445301,2.591485907,0.04412325,n68,1,2,3332333333
0.008125039,0.000521986,1.514475862,0.039767818,n70,6,11,3333323333
0.011387856,0,1.055214236,0,n72,14,16,3333333323
,,,,n75,43,103,1323211322
0.000561941,2.62E-05,1.579785784,0.013854114,n76,20,79,2213123222
0.000782853,4.22E-06,1.710458148,0.181300342,n77,16,93,3323231122
,,,,n78,28,105,3323211221
0.002218783,0.000124135,0.582928443,0.085355891,n80,17,93,2311231223
0.004370587,7.00E-05,0.730216754,0.012367583,n82,26,76,3223123322
0.003669837,2.95E-05,0.347877799,0.130795473,n84,30,81,2133313321
0.000635594,3.89E-05,0.953592764,0.161659169,n86,23,99,1311321222
0.000620488,6.83E-05,0.246810911,0.101355388,n88,29,86,3122323231
0.00120098,9.12E-05,0.529095304,0.206589857,n89,30,66,1311323211
0.000582898,2.18E-05,0.70674443,0.330804886,n93,46,85,3313121321
0.006379482,0.000409035,1.680479019,0.057222569,n94,17,88,2123113332
0.000620288,4.80E-05,0.832041825,0.210856806,n95,25,90,1212333121
,,,,n96,30,71,3231313113
0.000550331,7.87E-05,2.907726872,1.837239468,n97,42,94,3322111322
,,,,n98,36,83,1322311233
,,,,n99,19,66,3123311212
0.000679364,2.58E-05,1.438259165,0.377915676,n100,40,57,2312313231
0.00080698,1.52E-05,1.225265846,0.431957219,n28,34,57,2211212321
0.000424976,7.74E-06,1.213262593,0.625113841,n73,5,6,3333333332
0.000420304,5.84E-07,1.015416678,0.064106958,n87,36,76,1323213123
0.008069334,0.001610724,0.556747465,0.098245485,C1C2,0,0,2222222222
0.001234882,0.000198192,3.11407257,0.644943762,CheRiff,0,0,1111111111
0.008387107,0.001060034,1.731298352,0.122350166,CsChrim,0,0,3333333333
