,weight,term
0,-0.358358282286,"(0, '0')"
2,0.18758942009,"(0, '2')"
3,-0.0559151676368,"(1, '0')"
4,0.0360346335491,"(1, '1')"
9,0.051329878633,"(3, '0')"
22,-0.0420009525082,"(7, '1')"
35,0.101174340518,"(11, '2')"
38,0.0118684749433,"(12, '2')"
39,-0.0199162242227,"(13, '0')"
41,0.204434246704,"(13, '2')"
42,-0.0883105990166,"(14, '0')"
44,0.161098460271,"(14, '2')"
45,-0.132181558195,"(15, '0')"
49,0.168145037177,"(16, '1')"
52,0.0758351555899,"(17, '1')"
55,0.112299700533,"(18, '1')"
60,-0.0552516416514,"(20, '0')"
61,0.398658587579,"(20, '1')"
66,-0.000435124178368,"(22, '0')"
71,0.0602206517308,"(23, '2')"
